dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,100,0.0012346,Geneformer,protein_counts,42,0.65307
PBMC,100,0.0012346,Geneformer,protein_counts,2303,0.67208
PBMC,100,0.0012346,Geneformer,protein_counts,2701,0.7348
PBMC,100,0.0012346,PCA,protein_counts,42,0.3527
PBMC,100,0.0012346,PCA,protein_counts,2303,0.37896
PBMC,100,0.0012346,PCA,protein_counts,2701,0.34282
PBMC,100,0.0012346,RandomProjection,protein_counts,42,0.25169
PBMC,100,0.0012346,RandomProjection,protein_counts,2303,0.24459
PBMC,100,0.0012346,RandomProjection,protein_counts,2701,0.25169
PBMC,100,0.0012346,SCVI,protein_counts,42,0.25354
PBMC,100,0.0012346,SCVI,protein_counts,2303,0.31102
PBMC,100,0.0012346,SCVI,protein_counts,2701,0.27449
PBMC,100,0.0025982,Geneformer,protein_counts,42,0.99662
PBMC,100,0.0025982,Geneformer,protein_counts,2303,1.0008
PBMC,100,0.0025982,Geneformer,protein_counts,2701,1.04544
PBMC,100,0.0025982,PCA,protein_counts,42,0.55828
PBMC,100,0.0025982,PCA,protein_counts,2303,0.55793
PBMC,100,0.0025982,PCA,protein_counts,2701,0.56286
PBMC,100,0.0025982,RandomProjection,protein_counts,42,0.2752
PBMC,100,0.0025982,RandomProjection,protein_counts,2303,0.28246
PBMC,100,0.0025982,RandomProjection,protein_counts,2701,0.2752
PBMC,100,0.0025982,SCVI,protein_counts,42,0.4177
PBMC,100,0.0025982,SCVI,protein_counts,2303,0.536
PBMC,100,0.0025982,SCVI,protein_counts,2701,0.51113
PBMC,100,0.0054682,Geneformer,protein_counts,42,1.40824
PBMC,100,0.0054682,Geneformer,protein_counts,2303,1.38295
PBMC,100,0.0054682,Geneformer,protein_counts,2701,1.30879
PBMC,100,0.0054682,PCA,protein_counts,42,0.7462
PBMC,100,0.0054682,PCA,protein_counts,2303,0.70305
PBMC,100,0.0054682,PCA,protein_counts,2701,0.69359
PBMC,100,0.0054682,RandomProjection,protein_counts,42,0.41653
PBMC,100,0.0054682,RandomProjection,protein_counts,2303,0.38736
PBMC,100,0.0054682,RandomProjection,protein_counts,2701,0.41653
PBMC,100,0.0054682,SCVI,protein_counts,42,0.8341
PBMC,100,0.0054682,SCVI,protein_counts,2303,0.83306
PBMC,100,0.0054682,SCVI,protein_counts,2701,0.88077
PBMC,100,0.0115083,Geneformer,protein_counts,42,1.6949
PBMC,100,0.0115083,Geneformer,protein_counts,2303,1.70848
PBMC,100,0.0115083,Geneformer,protein_counts,2701,1.66917
PBMC,100,0.0115083,PCA,protein_counts,42,1.16436
PBMC,100,0.0115083,PCA,protein_counts,2303,1.04265
PBMC,100,0.0115083,PCA,protein_counts,2701,1.17534
PBMC,100,0.0115083,RandomProjection,protein_counts,42,0.6329
PBMC,100,0.0115083,RandomProjection,protein_counts,2303,0.65149
PBMC,100,0.0115083,RandomProjection,protein_counts,2701,0.6329
PBMC,100,0.0115083,SCVI,protein_counts,42,1.47968
PBMC,100,0.0115083,SCVI,protein_counts,2303,1.44862
PBMC,100,0.0115083,SCVI,protein_counts,2701,1.45071
PBMC,100,0.02422,Geneformer,protein_counts,42,2.07551
PBMC,100,0.02422,Geneformer,protein_counts,2303,2.01694
PBMC,100,0.02422,Geneformer,protein_counts,2701,1.99332
PBMC,100,0.02422,PCA,protein_counts,42,1.53214
PBMC,100,0.02422,PCA,protein_counts,2303,1.53602
PBMC,100,0.02422,PCA,protein_counts,2701,1.5849
PBMC,100,0.02422,RandomProjection,protein_counts,42,1.01817
PBMC,100,0.02422,RandomProjection,protein_counts,2303,1.02923
PBMC,100,0.02422,RandomProjection,protein_counts,2701,1.01817
PBMC,100,0.02422,SCVI,protein_counts,42,2.04855
PBMC,100,0.02422,SCVI,protein_counts,2303,2.02243
PBMC,100,0.02422,SCVI,protein_counts,2701,1.98635
PBMC,100,0.050973,Geneformer,protein_counts,42,2.17513
PBMC,100,0.050973,Geneformer,protein_counts,2303,2.17322
PBMC,100,0.050973,Geneformer,protein_counts,2701,2.16997
PBMC,100,0.050973,PCA,protein_counts,42,2.16923
PBMC,100,0.050973,PCA,protein_counts,2303,2.14863
PBMC,100,0.050973,PCA,protein_counts,2701,2.16066
PBMC,100,0.050973,RandomProjection,protein_counts,42,1.46463
PBMC,100,0.050973,RandomProjection,protein_counts,2303,1.47537
PBMC,100,0.050973,RandomProjection,protein_counts,2701,1.46463
PBMC,100,0.050973,SCVI,protein_counts,42,2.28711
PBMC,100,0.050973,SCVI,protein_counts,2303,2.33595
PBMC,100,0.050973,SCVI,protein_counts,2701,2.25287
PBMC,100,0.1072766,Geneformer,protein_counts,42,2.23393
PBMC,100,0.1072766,Geneformer,protein_counts,2303,2.20561
PBMC,100,0.1072766,Geneformer,protein_counts,2701,2.09292
PBMC,100,0.1072766,PCA,protein_counts,42,2.46241
PBMC,100,0.1072766,PCA,protein_counts,2303,2.51293
PBMC,100,0.1072766,PCA,protein_counts,2701,2.55975
PBMC,100,0.1072766,RandomProjection,protein_counts,42,1.87921
PBMC,100,0.1072766,RandomProjection,protein_counts,2303,1.93615
PBMC,100,0.1072766,RandomProjection,protein_counts,2701,1.87921
PBMC,100,0.1072766,SCVI,protein_counts,42,2.74063
PBMC,100,0.1072766,SCVI,protein_counts,2303,2.69227
PBMC,100,0.1072766,SCVI,protein_counts,2701,2.56553
PBMC,100,0.225772,Geneformer,protein_counts,42,2.05476
PBMC,100,0.225772,Geneformer,protein_counts,2303,2.13724
PBMC,100,0.225772,Geneformer,protein_counts,2701,2.17683
PBMC,100,0.225772,PCA,protein_counts,42,2.89627
PBMC,100,0.225772,PCA,protein_counts,2303,2.91161
PBMC,100,0.225772,PCA,protein_counts,2701,2.90744
PBMC,100,0.225772,RandomProjection,protein_counts,42,2.34458
PBMC,100,0.225772,RandomProjection,protein_counts,2303,2.30841
PBMC,100,0.225772,RandomProjection,protein_counts,2701,2.34458
PBMC,100,0.225772,SCVI,protein_counts,42,2.76225
PBMC,100,0.225772,SCVI,protein_counts,2303,2.87042
PBMC,100,0.225772,SCVI,protein_counts,2701,2.88577
PBMC,100,0.4751547,Geneformer,protein_counts,42,2.11547
PBMC,100,0.4751547,Geneformer,protein_counts,2303,2.0459
PBMC,100,0.4751547,Geneformer,protein_counts,2701,2.00824
PBMC,100,0.4751547,PCA,protein_counts,42,3.14602
PBMC,100,0.4751547,PCA,protein_counts,2303,3.22199
PBMC,100,0.4751547,PCA,protein_counts,2701,3.20445
PBMC,100,0.4751547,RandomProjection,protein_counts,42,2.62211
PBMC,100,0.4751547,RandomProjection,protein_counts,2303,2.61263
PBMC,100,0.4751547,RandomProjection,protein_counts,2701,2.62211
PBMC,100,0.4751547,SCVI,protein_counts,42,2.6324
PBMC,100,0.4751547,SCVI,protein_counts,2303,2.72647
PBMC,100,0.4751547,SCVI,protein_counts,2701,2.75677
PBMC,100,1.0,Geneformer,protein_counts,42,2.41946
PBMC,100,1.0,Geneformer,protein_counts,2303,2.56901
PBMC,100,1.0,Geneformer,protein_counts,2701,2.57319
PBMC,100,1.0,PCA,protein_counts,42,3.57451
PBMC,100,1.0,PCA,protein_counts,2303,3.63344
PBMC,100,1.0,PCA,protein_counts,2701,3.62274
PBMC,100,1.0,RandomProjection,protein_counts,42,2.8748
PBMC,100,1.0,RandomProjection,protein_counts,2303,2.86534
PBMC,100,1.0,RandomProjection,protein_counts,2701,2.8748
PBMC,100,1.0,SCVI,protein_counts,42,2.92074
PBMC,100,1.0,SCVI,protein_counts,2303,2.74763
PBMC,100,1.0,SCVI,protein_counts,2701,2.57016
PBMC,215,0.0012346,Geneformer,protein_counts,42,0.68919
PBMC,215,0.0012346,Geneformer,protein_counts,2303,0.70541
PBMC,215,0.0012346,Geneformer,protein_counts,2701,0.70968
PBMC,215,0.0012346,PCA,protein_counts,42,0.35402
PBMC,215,0.0012346,PCA,protein_counts,2303,0.36669
PBMC,215,0.0012346,PCA,protein_counts,2701,0.35386
PBMC,215,0.0012346,RandomProjection,protein_counts,42,0.25169
PBMC,215,0.0012346,RandomProjection,protein_counts,2303,0.24459
PBMC,215,0.0012346,RandomProjection,protein_counts,2701,0.25169
PBMC,215,0.0012346,SCVI,protein_counts,42,0.22574
PBMC,215,0.0012346,SCVI,protein_counts,2303,0.27331
PBMC,215,0.0012346,SCVI,protein_counts,2701,0.2516
PBMC,215,0.0025982,Geneformer,protein_counts,42,1.04138
PBMC,215,0.0025982,Geneformer,protein_counts,2303,1.09094
PBMC,215,0.0025982,Geneformer,protein_counts,2701,1.05895
PBMC,215,0.0025982,PCA,protein_counts,42,0.61666
PBMC,215,0.0025982,PCA,protein_counts,2303,0.62417
PBMC,215,0.0025982,PCA,protein_counts,2701,0.62216
PBMC,215,0.0025982,RandomProjection,protein_counts,42,0.2752
PBMC,215,0.0025982,RandomProjection,protein_counts,2303,0.28246
PBMC,215,0.0025982,RandomProjection,protein_counts,2701,0.2752
PBMC,215,0.0025982,SCVI,protein_counts,42,0.47797
