dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,100,0.0012346,Geneformer,celltype.l3,42,0.40001
PBMC,100,0.0012346,Geneformer,celltype.l3,2303,0.4998
PBMC,100,0.0012346,Geneformer,celltype.l3,2701,0.35772
PBMC,100,0.0012346,PCA,celltype.l3,42,1.89009
PBMC,100,0.0012346,PCA,celltype.l3,2303,0.322
PBMC,100,0.0012346,PCA,celltype.l3,2701,1.88626
PBMC,100,0.0012346,RandomProjection,celltype.l3,42,0.17683
PBMC,100,0.0012346,RandomProjection,celltype.l3,2303,0.17462
PBMC,100,0.0012346,RandomProjection,celltype.l3,2701,0.17683
PBMC,100,0.0012346,SCVI,celltype.l3,42,0.16636
PBMC,100,0.0012346,SCVI,celltype.l3,2303,0.24224
PBMC,100,0.0012346,SCVI,celltype.l3,2701,0.2208
PBMC,100,0.0025982,Geneformer,celltype.l3,42,0.75504
PBMC,100,0.0025982,Geneformer,celltype.l3,2303,0.75988
PBMC,100,0.0025982,Geneformer,celltype.l3,2701,0.74029
PBMC,100,0.0025982,PCA,celltype.l3,42,1.75167
PBMC,100,0.0025982,PCA,celltype.l3,2303,0.56731
PBMC,100,0.0025982,PCA,celltype.l3,2701,1.76389
PBMC,100,0.0025982,RandomProjection,celltype.l3,42,0.20138
PBMC,100,0.0025982,RandomProjection,celltype.l3,2303,0.20576
PBMC,100,0.0025982,RandomProjection,celltype.l3,2701,0.20138
PBMC,100,0.0025982,SCVI,celltype.l3,42,0.34454
PBMC,100,0.0025982,SCVI,celltype.l3,2303,0.50926
PBMC,100,0.0025982,SCVI,celltype.l3,2701,0.48674
PBMC,100,0.0054682,Geneformer,celltype.l3,42,1.08017
PBMC,100,0.0054682,Geneformer,celltype.l3,2303,1.10026
PBMC,100,0.0054682,Geneformer,celltype.l3,2701,1.06845
PBMC,100,0.0054682,PCA,celltype.l3,42,1.53663
PBMC,100,0.0054682,PCA,celltype.l3,2303,0.75931
PBMC,100,0.0054682,PCA,celltype.l3,2701,1.54793
PBMC,100,0.0054682,RandomProjection,celltype.l3,42,0.23654
PBMC,100,0.0054682,RandomProjection,celltype.l3,2303,0.32302
PBMC,100,0.0054682,RandomProjection,celltype.l3,2701,0.23654
PBMC,100,0.0054682,SCVI,celltype.l3,42,0.77623
PBMC,100,0.0054682,SCVI,celltype.l3,2303,0.77428
PBMC,100,0.0054682,SCVI,celltype.l3,2701,0.79562
PBMC,100,0.0115083,Geneformer,celltype.l3,42,1.37634
PBMC,100,0.0115083,Geneformer,celltype.l3,2303,1.41502
PBMC,100,0.0115083,Geneformer,celltype.l3,2701,1.37578
PBMC,100,0.0115083,PCA,celltype.l3,42,1.42559
PBMC,100,0.0115083,PCA,celltype.l3,2303,1.04443
PBMC,100,0.0115083,PCA,celltype.l3,2701,1.52307
PBMC,100,0.0115083,RandomProjection,celltype.l3,42,0.4504
PBMC,100,0.0115083,RandomProjection,celltype.l3,2303,0.54692
PBMC,100,0.0115083,RandomProjection,celltype.l3,2701,0.4504
PBMC,100,0.0115083,SCVI,celltype.l3,42,1.36352
PBMC,100,0.0115083,SCVI,celltype.l3,2303,1.34294
PBMC,100,0.0115083,SCVI,celltype.l3,2701,1.31065
PBMC,100,0.02422,Geneformer,celltype.l3,42,1.71691
PBMC,100,0.02422,Geneformer,celltype.l3,2303,1.65673
PBMC,100,0.02422,Geneformer,celltype.l3,2701,1.60284
PBMC,100,0.02422,PCA,celltype.l3,42,1.41935
PBMC,100,0.02422,PCA,celltype.l3,2303,1.45865
PBMC,100,0.02422,PCA,celltype.l3,2701,1.39673
PBMC,100,0.02422,RandomProjection,celltype.l3,42,0.77515
PBMC,100,0.02422,RandomProjection,celltype.l3,2303,0.7979
PBMC,100,0.02422,RandomProjection,celltype.l3,2701,0.77515
PBMC,100,0.02422,SCVI,celltype.l3,42,1.72529
PBMC,100,0.02422,SCVI,celltype.l3,2303,1.75732
PBMC,100,0.02422,SCVI,celltype.l3,2701,1.71384
PBMC,100,0.050973,Geneformer,celltype.l3,42,1.8875
PBMC,100,0.050973,Geneformer,celltype.l3,2303,1.88935
PBMC,100,0.050973,Geneformer,celltype.l3,2701,1.92891
PBMC,100,0.050973,PCA,celltype.l3,42,1.97369
PBMC,100,0.050973,PCA,celltype.l3,2303,1.96454
PBMC,100,0.050973,PCA,celltype.l3,2701,1.95661
PBMC,100,0.050973,RandomProjection,celltype.l3,42,1.18647
PBMC,100,0.050973,RandomProjection,celltype.l3,2303,1.1766
PBMC,100,0.050973,RandomProjection,celltype.l3,2701,1.18647
PBMC,100,0.050973,SCVI,celltype.l3,42,1.97899
PBMC,100,0.050973,SCVI,celltype.l3,2303,1.9664
PBMC,100,0.050973,SCVI,celltype.l3,2701,1.94013
PBMC,100,0.1072766,Geneformer,celltype.l3,42,1.96932
PBMC,100,0.1072766,Geneformer,celltype.l3,2303,1.90294
PBMC,100,0.1072766,Geneformer,celltype.l3,2701,1.90304
PBMC,100,0.1072766,PCA,celltype.l3,42,2.26317
PBMC,100,0.1072766,PCA,celltype.l3,2303,2.27171
PBMC,100,0.1072766,PCA,celltype.l3,2701,2.32033
PBMC,100,0.1072766,RandomProjection,celltype.l3,42,1.54612
PBMC,100,0.1072766,RandomProjection,celltype.l3,2303,1.55153
PBMC,100,0.1072766,RandomProjection,celltype.l3,2701,1.54612
PBMC,100,0.1072766,SCVI,celltype.l3,42,2.32164
PBMC,100,0.1072766,SCVI,celltype.l3,2303,2.32935
PBMC,100,0.1072766,SCVI,celltype.l3,2701,2.32858
