dataset,size,quality,algorithm,signal,seed
shendure,215443,0.0251984,Geneformer,author_day,42
shendure,215443,0.1587401,Geneformer,author_day,42
shendure,215443,0.2931733,Geneformer,author_day,42
shendure,215443,0.5414548,Geneformer,author_day,42
shendure,215443,1.0,Geneformer,author_day,42
shendure,774263,0.0073875,SCVI,author_day,42
shendure,774263,0.0136438,SCVI,author_day,42
shendure,774263,0.0251984,Geneformer,author_day,42
shendure,774263,0.0251984,SCVI,author_day,42
shendure,774263,0.0859506,Geneformer,author_day,42
shendure,774263,0.1587401,Geneformer,author_day,42
shendure,774263,0.2931733,Geneformer,author_day,42
shendure,2782559,0.004,Geneformer,author_day,42
shendure,2782559,0.004,SCVI,author_day,42
shendure,2782559,0.0073875,PCA,author_day,42
shendure,2782559,0.0136438,SCVI,author_day,42
shendure,2782559,0.0251984,PCA,author_day,42
shendure,2782559,0.0465384,SCVI,author_day,42
shendure,2782559,0.2931733,PCA,author_day,42
shendure,2782559,0.2931733,SCVI,author_day,42
shendure,2782559,0.5414548,Geneformer,author_day,42
shendure,2782559,1.0,PCA,author_day,42
shendure,2782559,1.0,SCVI,author_day,42
shendure,10000000,0.004,PCA,author_day,42
shendure,10000000,0.0073875,PCA,author_day,42
shendure,10000000,0.0251984,SCVI,author_day,42
shendure,10000000,0.0859506,PCA,author_day,42
shendure,10000000,0.5414548,PCA,author_day,42
shendure,10000000,0.5414548,SCVI,author_day,42
shendure,10000000,1.0,SCVI,author_day,42
