dataset,size,quality,algorithm,signal,seed
merfish,100,0.027248,Geneformer,cur_idx,1404
merfish,100,0.027248,Geneformer,cur_idx,2303
merfish,100,0.027248,Geneformer,cur_idx,2701
merfish,100,0.0406617,Geneformer,cur_idx,1404
merfish,100,0.0406617,Geneformer,cur_idx,2303
merfish,100,0.0406617,Geneformer,cur_idx,2701
merfish,100,0.0606789,Geneformer,cur_idx,1404
merfish,100,0.0606789,Geneformer,cur_idx,2303
merfish,100,0.0606789,Geneformer,cur_idx,2701
merfish,100,0.0905502,Geneformer,cur_idx,1404
merfish,100,0.0905502,Geneformer,cur_idx,2303
merfish,100,0.0905502,Geneformer,cur_idx,2701
merfish,100,0.1351267,Geneformer,cur_idx,1404
merfish,100,0.1351267,Geneformer,cur_idx,2303
merfish,100,0.1351267,Geneformer,cur_idx,2701
merfish,100,0.2016475,Geneformer,cur_idx,1404
merfish,100,0.2016475,Geneformer,cur_idx,2303
merfish,100,0.2016475,Geneformer,cur_idx,2701
merfish,100,0.3009156,Geneformer,cur_idx,1404
merfish,100,0.3009156,Geneformer,cur_idx,2303
merfish,100,0.3009156,Geneformer,cur_idx,2701
merfish,100,0.4490518,Geneformer,cur_idx,1404
merfish,100,0.4490518,Geneformer,cur_idx,2303
merfish,100,0.4490518,Geneformer,cur_idx,2701
merfish,100,0.6701133,Geneformer,cur_idx,1404
merfish,100,0.6701133,Geneformer,cur_idx,2303
merfish,100,0.6701133,Geneformer,cur_idx,2701
merfish,100,1.0,Geneformer,cur_idx,1404
merfish,100,1.0,Geneformer,cur_idx,2303
merfish,100,1.0,Geneformer,cur_idx,2701
merfish,203,0.027248,Geneformer,cur_idx,1404
merfish,203,0.027248,Geneformer,cur_idx,2303
merfish,203,0.027248,Geneformer,cur_idx,2701
merfish,203,0.0406617,Geneformer,cur_idx,1404
merfish,203,0.0406617,Geneformer,cur_idx,2303
merfish,203,0.0406617,Geneformer,cur_idx,2701
merfish,203,0.0606789,Geneformer,cur_idx,1404
merfish,203,0.0606789,Geneformer,cur_idx,2303
merfish,203,0.0606789,Geneformer,cur_idx,2701
merfish,203,0.0905502,Geneformer,cur_idx,1404
merfish,203,0.0905502,Geneformer,cur_idx,2303
merfish,203,0.0905502,Geneformer,cur_idx,2701
merfish,203,0.1351267,Geneformer,cur_idx,1404
merfish,203,0.1351267,Geneformer,cur_idx,2303
merfish,203,0.1351267,Geneformer,cur_idx,2701
merfish,203,0.2016475,Geneformer,cur_idx,1404
merfish,203,0.2016475,Geneformer,cur_idx,2303
merfish,203,0.2016475,Geneformer,cur_idx,2701
merfish,203,0.3009156,Geneformer,cur_idx,1404
merfish,203,0.3009156,Geneformer,cur_idx,2303
merfish,203,0.3009156,Geneformer,cur_idx,2701
merfish,203,0.4490518,Geneformer,cur_idx,1404
merfish,203,0.4490518,Geneformer,cur_idx,2303
merfish,203,0.4490518,Geneformer,cur_idx,2701
merfish,203,0.6701133,Geneformer,cur_idx,1404
merfish,203,0.6701133,Geneformer,cur_idx,2303
merfish,203,0.6701133,Geneformer,cur_idx,2701
merfish,203,1.0,Geneformer,cur_idx,1404
merfish,203,1.0,Geneformer,cur_idx,2303
merfish,203,1.0,Geneformer,cur_idx,2701
merfish,414,0.027248,Geneformer,cur_idx,1404
merfish,414,0.027248,Geneformer,cur_idx,2303
merfish,414,0.027248,Geneformer,cur_idx,2701
merfish,414,0.0406617,Geneformer,cur_idx,1404
merfish,414,0.0406617,Geneformer,cur_idx,2303
merfish,414,0.0406617,Geneformer,cur_idx,2701
merfish,414,0.0606789,Geneformer,cur_idx,1404
merfish,414,0.0606789,Geneformer,cur_idx,2303
merfish,414,0.0606789,Geneformer,cur_idx,2701
merfish,414,0.0905502,Geneformer,cur_idx,1404
merfish,414,0.0905502,Geneformer,cur_idx,2303
merfish,414,0.0905502,Geneformer,cur_idx,2701
merfish,414,0.1351267,Geneformer,cur_idx,1404
merfish,414,0.1351267,Geneformer,cur_idx,2303
merfish,414,0.1351267,Geneformer,cur_idx,2701
merfish,414,0.2016475,Geneformer,cur_idx,1404
merfish,414,0.2016475,Geneformer,cur_idx,2303
merfish,414,0.2016475,Geneformer,cur_idx,2701
merfish,414,0.3009156,Geneformer,cur_idx,1404
merfish,414,0.3009156,Geneformer,cur_idx,2303
merfish,414,0.3009156,Geneformer,cur_idx,2701
merfish,414,0.4490518,Geneformer,cur_idx,1404
merfish,414,0.4490518,Geneformer,cur_idx,2303
merfish,414,0.4490518,Geneformer,cur_idx,2701
merfish,414,0.6701133,Geneformer,cur_idx,1404
merfish,414,0.6701133,Geneformer,cur_idx,2303
merfish,414,0.6701133,Geneformer,cur_idx,2701
merfish,414,1.0,Geneformer,cur_idx,1404
merfish,414,1.0,Geneformer,cur_idx,2303
merfish,414,1.0,Geneformer,cur_idx,2701
merfish,843,0.027248,Geneformer,cur_idx,1404
merfish,843,0.027248,Geneformer,cur_idx,2303
merfish,843,0.027248,Geneformer,cur_idx,2701
merfish,843,0.0406617,Geneformer,cur_idx,1404
merfish,843,0.0406617,Geneformer,cur_idx,2303
merfish,843,0.0406617,Geneformer,cur_idx,2701
merfish,843,0.0606789,Geneformer,cur_idx,1404
merfish,843,0.0606789,Geneformer,cur_idx,2303
merfish,843,0.0606789,Geneformer,cur_idx,2701
merfish,843,0.0905502,Geneformer,cur_idx,1404
merfish,843,0.0905502,Geneformer,cur_idx,2303
merfish,843,0.0905502,Geneformer,cur_idx,2701
merfish,843,0.1351267,Geneformer,cur_idx,1404
merfish,843,0.1351267,Geneformer,cur_idx,2303
merfish,843,0.1351267,Geneformer,cur_idx,2701
merfish,843,0.2016475,Geneformer,cur_idx,1404
merfish,843,0.2016475,Geneformer,cur_idx,2303
merfish,843,0.2016475,Geneformer,cur_idx,2701
merfish,843,0.3009156,Geneformer,cur_idx,1404
merfish,843,0.3009156,Geneformer,cur_idx,2303
merfish,843,0.3009156,Geneformer,cur_idx,2701
merfish,843,0.4490518,Geneformer,cur_idx,1404
merfish,843,0.4490518,Geneformer,cur_idx,2303
merfish,843,0.4490518,Geneformer,cur_idx,2701
merfish,843,0.6701133,Geneformer,cur_idx,1404
merfish,843,0.6701133,Geneformer,cur_idx,2303
merfish,843,0.6701133,Geneformer,cur_idx,2701
merfish,843,1.0,Geneformer,cur_idx,1404
merfish,843,1.0,Geneformer,cur_idx,2303
merfish,843,1.0,Geneformer,cur_idx,2701
merfish,1716,0.027248,Geneformer,cur_idx,1404
merfish,1716,0.027248,Geneformer,cur_idx,2303
merfish,1716,0.027248,Geneformer,cur_idx,2701
merfish,1716,0.0406617,Geneformer,cur_idx,1404
merfish,1716,0.0406617,Geneformer,cur_idx,2303
merfish,1716,0.0406617,Geneformer,cur_idx,2701
merfish,1716,0.0606789,Geneformer,cur_idx,1404
merfish,1716,0.0606789,Geneformer,cur_idx,2303
merfish,1716,0.0606789,Geneformer,cur_idx,2701
merfish,1716,0.0905502,Geneformer,cur_idx,1404
merfish,1716,0.0905502,Geneformer,cur_idx,2303
merfish,1716,0.0905502,Geneformer,cur_idx,2701
merfish,1716,0.1351267,Geneformer,cur_idx,1404
merfish,1716,0.1351267,Geneformer,cur_idx,2303
merfish,1716,0.1351267,Geneformer,cur_idx,2701
merfish,1716,0.2016475,Geneformer,cur_idx,1404
merfish,1716,0.2016475,Geneformer,cur_idx,2303
merfish,1716,0.2016475,Geneformer,cur_idx,2701
merfish,1716,0.3009156,Geneformer,cur_idx,1404
merfish,1716,0.3009156,Geneformer,cur_idx,2303
merfish,1716,0.3009156,Geneformer,cur_idx,2701
merfish,1716,0.4490518,Geneformer,cur_idx,1404
merfish,1716,0.4490518,Geneformer,cur_idx,2303
merfish,1716,0.4490518,Geneformer,cur_idx,2701
