seed,noise_level,quality,eta,sigma_meas_sq,sigma_M,sigma_M_sq,sigma_M_sq_ratio,k,MI
0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,4.089718669806569
0,1.0,1.0,1.0,1.0,0.25,0.0625,0.0625,20,3.990145467249794
0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,20,3.728045970319103
0,1.0,1.0,1.0,1.0,0.75,0.5625,0.5625,20,3.262602904462555
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,2.9208782449861905
0,0.5,0.5,0.5,2.0,0.0,0.0,0.0,20,3.7148223054074023
0,0.5,0.5,0.5,2.0,0.25,0.0625,0.03125,20,3.7197461179136457
0,0.5,0.5,0.5,2.0,0.5,0.25,0.125,20,3.4774056230134676
0,0.5,0.5,0.5,2.0,0.75,0.5625,0.28125,20,3.0200266782698693
0,0.5,0.5,0.5,2.0,1.0,1.0,0.5,20,2.7530688530263427
0,0.25,0.25,0.25,4.0,0.0,0.0,0.0,20,3.3335331796420893
0,0.25,0.25,0.25,4.0,0.25,0.0625,0.015625,20,3.2847938747458296
0,0.25,0.25,0.25,4.0,0.5,0.25,0.0625,20,3.1500484081197246
0,0.25,0.25,0.25,4.0,0.75,0.5625,0.140625,20,2.8153571299813036
0,0.25,0.25,0.25,4.0,1.0,1.0,0.25,20,2.619762004189559
0,0.125,0.125,0.125,8.0,0.0,0.0,0.0,20,2.9451574587652223
0,0.125,0.125,0.125,8.0,0.25,0.0625,0.0078125,20,2.952447102348872
0,0.125,0.125,0.125,8.0,0.5,0.25,0.03125,20,2.858145730421346
0,0.125,0.125,0.125,8.0,0.75,0.5625,0.0703125,20,2.6725752218869743
0,0.125,0.125,0.125,8.0,1.0,1.0,0.125,20,2.5313367414737575
0,0.0625,0.0625,0.0625,16.0,0.0,0.0,0.0,20,2.6693206710076676
0,0.0625,0.0625,0.0625,16.0,0.25,0.0625,0.00390625,20,2.680270023834751
0,0.0625,0.0625,0.0625,16.0,0.5,0.25,0.015625,20,2.6219774015633392
0,0.0625,0.0625,0.0625,16.0,0.75,0.5625,0.03515625,20,2.453769364510563
0,0.0625,0.0625,0.0625,16.0,1.0,1.0,0.0625,20,2.3869509285595294
0,0.03125,0.03125,0.03125,32.0,0.0,0.0,0.0,20,2.407080884097845
0,0.015625,0.015625,0.015625,64.0,0.0,0.0,0.0,20,2.0377780484754515
0,0.0078125,0.0078125,0.0078125,128.0,0.0,0.0,0.0,20,1.6894386416502647
0,0.00390625,0.00390625,0.00390625,256.0,0.0,0.0,0.0,20,1.1545974977995523
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,4.0765229917477885
1,1.0,1.0,1.0,1.0,0.25,0.0625,0.0625,20,4.0314330277925725
1,1.0,1.0,1.0,1.0,0.5,0.25,0.25,20,3.7605907205909346
1,1.0,1.0,1.0,1.0,0.75,0.5625,0.5625,20,3.3465896963997985
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,2.965536525326786
1,0.5,0.5,0.5,2.0,0.0,0.0,0.0,20,3.7479236933039797
1,0.5,0.5,0.5,2.0,0.25,0.0625,0.03125,20,3.720395686976976
1,0.5,0.5,0.5,2.0,0.5,0.25,0.125,20,3.511559125874107
1,0.5,0.5,0.5,2.0,0.75,0.5625,0.28125,20,3.1234265470088043
1,0.5,0.5,0.5,2.0,1.0,1.0,0.5,20,2.766470172231462
1,0.25,0.25,0.25,4.0,0.0,0.0,0.0,20,3.3896680758290776
1,0.25,0.25,0.25,4.0,0.25,0.0625,0.015625,20,3.394308776176568
1,0.25,0.25,0.25,4.0,0.5,0.25,0.0625,20,3.281183498375517
