dataset,method,metric,quality,N0,s,I_inf,mean_residual
PBMC,Geneformer,celltype.l3,0.0012346,10.0,0.64,0.636,0.057
PBMC,Geneformer,celltype.l3,0.0025982,12.728,0.562,1.035,0.03
PBMC,Geneformer,celltype.l3,0.0054682,10.0,0.472,1.391,0.054
PBMC,Geneformer,celltype.l3,0.0115083,1000000.0,0.055,2.995,0.091
PBMC,Geneformer,celltype.l3,0.02422,16.131,0.253,2.201,0.151
PBMC,Geneformer,celltype.l3,0.050973,999999.972,0.076,3.73,0.154
PBMC,Geneformer,celltype.l3,0.1072766,340.266,0.139,3.058,0.195
PBMC,Geneformer,celltype.l3,0.225772,999999.966,0.091,4.178,0.167
PBMC,Geneformer,celltype.l3,0.4751547,999974.055,0.089,4.222,0.212
PBMC,Geneformer,celltype.l3,1.0,264.892,0.165,3.507,0.139
PBMC,Geneformer,protein_counts,0.0012346,10.0,1.091,0.735,0.046
PBMC,Geneformer,protein_counts,0.0025982,10.0,0.668,1.164,0.039
PBMC,Geneformer,protein_counts,0.0054682,10.0,0.417,1.658,0.09
PBMC,Geneformer,protein_counts,0.0115083,999999.944,0.06,3.331,0.133
PBMC,Geneformer,protein_counts,0.02422,39.682,0.593,2.37,0.202
PBMC,Geneformer,protein_counts,0.050973,999999.995,0.094,4.251,0.235
PBMC,Geneformer,protein_counts,0.1072766,999999.993,0.095,4.363,0.361
PBMC,Geneformer,protein_counts,0.225772,999999.98,0.123,4.892,0.291
PBMC,Geneformer,protein_counts,0.4751547,999999.889,0.129,4.943,0.431
PBMC,Geneformer,protein_counts,1.0,999999.968,0.112,4.96,0.368
PBMC,PCA,celltype.l3,0.0012346,15.824,1.094,0.448,0.073
PBMC,PCA,celltype.l3,0.0025982,5.473,0.973,0.787,0.184
PBMC,PCA,celltype.l3,0.0054682,21.816,0.928,1.036,0.095
PBMC,PCA,celltype.l3,0.0115083,19.916,0.945,1.362,0.061
PBMC,PCA,celltype.l3,0.02422,23.818,0.811,1.73,0.074
PBMC,PCA,celltype.l3,0.050973,23.622,1.047,2.097,0.06
PBMC,PCA,celltype.l3,0.1072766,15.688,0.949,2.389,0.054
PBMC,PCA,celltype.l3,0.225772,26.252,0.975,2.726,0.076
PBMC,PCA,celltype.l3,0.4751547,31.724,0.967,3.049,0.05
PBMC,PCA,celltype.l3,1.0,28.087,0.978,3.337,0.088
PBMC,PCA,protein_counts,0.0012346,9.939,1.118,0.408,0.056
PBMC,PCA,protein_counts,0.0025982,3.703,1.034,0.702,0.13
PBMC,PCA,protein_counts,0.0054682,12.29,0.914,1.011,0.059
PBMC,PCA,protein_counts,0.0115083,14.809,1.017,1.469,0.053
PBMC,PCA,protein_counts,0.02422,23.729,0.937,1.913,0.092
PBMC,PCA,protein_counts,0.050973,26.815,1.052,2.351,0.059
PBMC,PCA,protein_counts,0.1072766,23.377,0.961,2.709,0.048
PBMC,PCA,protein_counts,0.225772,37.215,0.949,3.123,0.093
PBMC,PCA,protein_counts,0.4751547,29.693,0.703,3.554,0.067
PBMC,PCA,protein_counts,1.0,42.109,1.038,3.945,0.097
PBMC,RandomProjection,celltype.l3,0.0012346,0.003,1.054,0.205,0.051
PBMC,RandomProjection,celltype.l3,0.0025982,1.492,1.006,0.291,0.113
PBMC,RandomProjection,celltype.l3,0.0054682,34.125,1.048,0.42,0.108
PBMC,RandomProjection,celltype.l3,0.0115083,18.744,1.044,0.552,0.091
PBMC,RandomProjection,celltype.l3,0.02422,38.258,1.043,0.907,0.18
PBMC,RandomProjection,celltype.l3,0.050973,1.678,1.057,1.161,0.011
PBMC,RandomProjection,celltype.l3,0.1072766,2.436,1.025,1.535,0.017
PBMC,RandomProjection,celltype.l3,0.225772,4.956,1.007,1.837,0.024
PBMC,RandomProjection,celltype.l3,0.4751547,3.218,1.026,2.19,0.038
PBMC,RandomProjection,celltype.l3,1.0,5.216,0.987,2.429,0.051
PBMC,RandomProjection,protein_counts,0.0012346,1.862,1.017,0.261,0.038
PBMC,RandomProjection,protein_counts,0.0025982,1.185,1.068,0.356,0.051
PBMC,RandomProjection,protein_counts,0.0054682,1.272,1.062,0.433,0.035
PBMC,RandomProjection,protein_counts,0.0115083,5.037,0.989,0.682,0.052
PBMC,RandomProjection,protein_counts,0.02422,2.775,1.083,0.992,0.011
PBMC,RandomProjection,protein_counts,0.050973,11.131,1.068,1.448,0.038
PBMC,RandomProjection,protein_counts,0.1072766,7.131,1.029,1.884,0.031
PBMC,RandomProjection,protein_counts,0.225772,6.371,1.018,2.285,0.046
PBMC,RandomProjection,protein_counts,0.4751547,8.63,1.12,2.602,0.031
PBMC,RandomProjection,protein_counts,1.0,11.498,1.064,2.89,0.065
PBMC,SCVI,celltype.l3,0.0012346,999999.955,0.051,1.727,0.044
PBMC,SCVI,celltype.l3,0.0025982,20130.597,0.092,1.947,0.067
PBMC,SCVI,celltype.l3,0.0054682,92.821,0.204,1.725,0.067
PBMC,SCVI,celltype.l3,0.0115083,999999.988,0.068,3.166,0.045
PBMC,SCVI,celltype.l3,0.02422,298.721,0.147,2.78,0.036
PBMC,SCVI,celltype.l3,0.050973,126.164,0.168,3.023,0.031
PBMC,SCVI,celltype.l3,0.1072766,1000000.0,0.073,4.224,0.023
PBMC,SCVI,celltype.l3,0.225772,999999.982,0.079,4.499,0.066
PBMC,SCVI,celltype.l3,0.4751547,999999.26,0.085,4.718,0.109
PBMC,SCVI,celltype.l3,1.0,999999.977,0.086,4.848,0.107
PBMC,SCVI,protein_counts,0.0012346,999999.997,0.061,1.904,0.034
PBMC,SCVI,protein_counts,0.0025982,999999.995,0.077,2.434,0.028
PBMC,SCVI,protein_counts,0.0054682,46932.823,0.1,2.711,0.048
PBMC,SCVI,protein_counts,0.0115083,999999.991,0.078,3.498,0.046
PBMC,SCVI,protein_counts,0.02422,999999.996,0.08,3.999,0.045
PBMC,SCVI,protein_counts,0.050973,6323.954,0.139,4.05,0.049
PBMC,SCVI,protein_counts,0.1072766,316889.99,0.119,5.0,0.103
PBMC,SCVI,protein_counts,0.225772,38043.004,0.152,5.0,0.158
PBMC,SCVI,protein_counts,0.4751547,21165.706,0.174,5.0,0.321
PBMC,SCVI,protein_counts,1.0,7603.524,0.211,5.0,0.363
larry,Geneformer,clone,0.003876,10.004,0.785,0.1,0.067
larry,Geneformer,clone,0.0071835,10.336,0.988,0.1,0.043
larry,Geneformer,clone,0.0133136,10.0,0.992,0.104,0.03
larry,Geneformer,clone,0.0246748,10.0,0.741,0.182,0.04
larry,Geneformer,clone,0.0457311,10.0,0.125,0.783,0.054
larry,Geneformer,clone,0.0847557,54.805,0.196,0.893,0.05
larry,Geneformer,clone,0.1570821,242.84,0.248,1.19,0.099
larry,Geneformer,clone,0.2911284,624.371,0.201,1.409,0.085
