dataset,method,signal,size,quality,mi
PBMC,finetune_se_100m_state,protein_counts,100,0.0012346,0.54266
PBMC,finetune_se_100m_state,protein_counts,100,0.0025982,0.74041
PBMC,finetune_se_100m_state,protein_counts,100,0.0054682,0.85194
PBMC,finetune_se_100m_state,protein_counts,100,0.0115083,1.20234
PBMC,finetune_se_100m_state,protein_counts,100,0.02422,1.81182
PBMC,finetune_se_100m_state,protein_counts,100,0.050973,2.14138
PBMC,finetune_se_100m_state,protein_counts,100,0.1072766,2.74467
PBMC,finetune_se_100m_state,protein_counts,100,0.225772,3.29118
PBMC,finetune_se_100m_state,protein_counts,100,0.4751547,3.88802
PBMC,finetune_se_100m_state,protein_counts,100,1.0,4.27611
PBMC,finetune_se_100m_state,protein_counts,215,0.0012346,0.55686
PBMC,finetune_se_100m_state,protein_counts,215,0.0025982,0.72596
PBMC,finetune_se_100m_state,protein_counts,215,0.0054682,0.83198
PBMC,finetune_se_100m_state,protein_counts,215,0.0115083,1.22186
PBMC,finetune_se_100m_state,protein_counts,215,0.02422,1.81295
PBMC,finetune_se_100m_state,protein_counts,215,0.050973,2.2103
PBMC,finetune_se_100m_state,protein_counts,215,0.1072766,2.7601
PBMC,finetune_se_100m_state,protein_counts,215,0.225772,3.38549
PBMC,finetune_se_100m_state,protein_counts,215,0.4751547,3.81427
PBMC,finetune_se_100m_state,protein_counts,215,1.0,4.21385
PBMC,finetune_se_100m_state,protein_counts,464,0.0012346,0.5308
PBMC,finetune_se_100m_state,protein_counts,464,0.0025982,0.73807
PBMC,finetune_se_100m_state,protein_counts,464,0.0054682,0.86368
PBMC,finetune_se_100m_state,protein_counts,464,0.0115083,1.24824
PBMC,finetune_se_100m_state,protein_counts,464,0.02422,1.79244
PBMC,finetune_se_100m_state,protein_counts,464,0.050973,2.10314
PBMC,finetune_se_100m_state,protein_counts,464,0.1072766,2.72085
PBMC,finetune_se_100m_state,protein_counts,464,0.225772,3.33586
PBMC,finetune_se_100m_state,protein_counts,464,0.4751547,3.80832
