dataset,size,quality,size_rank,curve,step,loss,is_best_checkpoint
PBMC,100,0.0012346,small,train,1000,5.1753,False
PBMC,100,0.0012346,small,train,2000,0.4354,False
PBMC,100,0.0012346,small,train,3000,0.1743,False
PBMC,100,0.0012346,small,train,4000,0.2125,False
PBMC,100,0.0012346,small,train,5000,0.2533,False
PBMC,100,0.0012346,small,train,6000,0.2933,False
PBMC,100,0.0012346,small,val,1000,7.035634517669678,False
PBMC,100,0.0012346,small,val,2000,8.589911460876465,False
PBMC,100,0.0012346,small,val,3000,9.929757118225098,False
PBMC,100,0.0012346,small,val,4000,10.558871269226074,False
PBMC,100,0.0012346,small,val,5000,11.378003120422363,False
PBMC,100,0.0012346,small,val,6000,12.370124816894531,False
PBMC,100,0.0012346,small,val,1000,7.035634517669678,True
PBMC,100,0.0025982,small,train,1000,5.4914,False
PBMC,100,0.0025982,small,train,2000,0.6159,False
PBMC,100,0.0025982,small,train,3000,0.0473,False
PBMC,100,0.0025982,small,train,4000,0.06,False
PBMC,100,0.0025982,small,train,5000,0.0807,False
PBMC,100,0.0025982,small,train,6000,0.0789,False
PBMC,100,0.0025982,small,val,1000,7.485873699188232,False
PBMC,100,0.0025982,small,val,2000,9.281635284423828,False
PBMC,100,0.0025982,small,val,3000,10.351603507995605,False
PBMC,100,0.0025982,small,val,4000,11.197638511657715,False
PBMC,100,0.0025982,small,val,5000,12.300017356872559,False
PBMC,100,0.0025982,small,val,6000,13.29651927947998,False
PBMC,100,0.0025982,small,val,1000,7.485873699188232,True
PBMC,100,0.0054682,small,train,1000,5.9575,False
PBMC,100,0.0054682,small,train,2000,1.2714,False
PBMC,100,0.0054682,small,train,3000,0.055,False
PBMC,100,0.0054682,small,train,4000,0.0467,False
PBMC,100,0.0054682,small,train,5000,0.0539,False
PBMC,100,0.0054682,small,train,6000,0.0495,False
PBMC,100,0.0054682,small,val,1000,7.40077543258667,False
PBMC,100,0.0054682,small,val,2000,9.303705215454102,False
PBMC,100,0.0054682,small,val,3000,10.686150550842285,False
PBMC,100,0.0054682,small,val,4000,11.84684944152832,False
PBMC,100,0.0054682,small,val,5000,13.20950698852539,False
PBMC,100,0.0054682,small,val,6000,14.448867797851562,False
PBMC,100,0.0054682,small,val,1000,7.40077543258667,True
PBMC,100,0.0115083,small,train,1000,6.455,False
PBMC,100,0.0115083,small,train,2000,2.1203,False
PBMC,100,0.0115083,small,train,3000,0.1023,False
PBMC,100,0.0115083,small,train,4000,0.0451,False
PBMC,100,0.0115083,small,train,5000,0.0465,False
PBMC,100,0.0115083,small,train,6000,0.0421,False
PBMC,100,0.0115083,small,val,1000,7.263442516326904,False
PBMC,100,0.0115083,small,val,2000,8.918292999267578,False
PBMC,100,0.0115083,small,val,3000,10.842411041259766,False
PBMC,100,0.0115083,small,val,4000,12.283306121826172,False
PBMC,100,0.0115083,small,val,5000,13.764646530151367,False
PBMC,100,0.0115083,small,val,6000,15.118849754333496,False
PBMC,100,0.0115083,small,val,1000,7.263442516326904,True
PBMC,100,0.02422,small,train,1000,6.9732,False
PBMC,100,0.02422,small,train,2000,3.094,False
PBMC,100,0.02422,small,train,3000,0.3127,False
PBMC,100,0.02422,small,train,4000,0.0593,False
PBMC,100,0.02422,small,train,5000,0.0488,False
PBMC,100,0.02422,small,train,6000,0.0411,False
PBMC,100,0.02422,small,val,1000,7.186677932739258,False
PBMC,100,0.02422,small,val,2000,8.61550521850586,False
PBMC,100,0.02422,small,val,3000,11.249566078186035,False
PBMC,100,0.02422,small,val,4000,13.043466567993164,False
PBMC,100,0.02422,small,val,5000,14.513243675231934,False
PBMC,100,0.02422,small,val,6000,16.07115364074707,False
PBMC,100,0.02422,small,val,1000,7.186677932739258,True
PBMC,100,0.050973,small,train,1000,7.4868,False
PBMC,100,0.050973,small,train,2000,3.7114,False
PBMC,100,0.050973,small,train,3000,0.6844,False
PBMC,100,0.050973,small,train,4000,0.1018,False
PBMC,100,0.050973,small,train,5000,0.0629,False
PBMC,100,0.050973,small,train,6000,0.049,False
PBMC,100,0.050973,small,val,1000,7.280278205871582,False
PBMC,100,0.050973,small,val,2000,8.34243392944336,False
PBMC,100,0.050973,small,val,3000,11.281285285949707,False
PBMC,100,0.050973,small,val,4000,13.235095977783203,False
PBMC,100,0.050973,small,val,5000,14.77274227142334,False
PBMC,100,0.050973,small,val,6000,16.155603408813477,False
PBMC,100,0.050973,small,val,1000,7.280278205871582,True
PBMC,100,0.1072766,small,train,1000,8.002,False
PBMC,100,0.1072766,small,train,2000,4.3273,False
PBMC,100,0.1072766,small,train,3000,1.3154,False
PBMC,100,0.1072766,small,train,4000,0.1611,False
PBMC,100,0.1072766,small,train,5000,0.0647,False
PBMC,100,0.1072766,small,train,6000,0.0473,False
PBMC,100,0.1072766,small,val,1000,7.697137832641602,False
PBMC,100,0.1072766,small,val,2000,8.060842514038086,False
PBMC,100,0.1072766,small,val,3000,10.728222846984863,False
PBMC,100,0.1072766,small,val,4000,13.305734634399414,False
PBMC,100,0.1072766,small,val,5000,14.835328102111816,False
PBMC,100,0.1072766,small,val,6000,16.225910186767578,False
PBMC,100,0.1072766,small,val,1000,7.697137832641602,True
PBMC,100,0.225772,small,train,1000,8.3492,False
PBMC,100,0.225772,small,train,2000,4.4831,False
PBMC,100,0.225772,small,train,3000,1.7245,False
PBMC,100,0.225772,small,train,4000,0.1774,False
PBMC,100,0.225772,small,train,5000,0.0572,False
PBMC,100,0.225772,small,train,6000,0.0383,False
PBMC,100,0.225772,small,val,1000,8.263925552368164,False
PBMC,100,0.225772,small,val,2000,8.415743827819824,False
PBMC,100,0.225772,small,val,3000,10.909589767456055,False
PBMC,100,0.225772,small,val,4000,13.453540802001953,False
PBMC,100,0.225772,small,val,5000,15.006017684936523,False
PBMC,100,0.225772,small,val,6000,16.500886917114258,False
PBMC,100,0.225772,small,val,1000,8.263925552368164,True
PBMC,100,0.4751547,small,train,1000,8.5467,False
PBMC,100,0.4751547,small,train,2000,4.1967,False
PBMC,100,0.4751547,small,train,3000,0.6822,False
PBMC,100,0.4751547,small,train,4000,0.1035,False
PBMC,100,0.4751547,small,train,5000,0.0519,False
PBMC,100,0.4751547,small,train,6000,0.038,False
