dataset,algo,quality,size,loss
PBMC,Geneformer,0.0012346,100,8.591434
PBMC,Geneformer,0.0012346,215,8.113108
PBMC,Geneformer,0.0012346,464,7.405445
PBMC,Geneformer,0.0012346,1000,6.908616
PBMC,Geneformer,0.0012346,2154,6.326958
PBMC,Geneformer,0.0012346,4641,5.871664
PBMC,Geneformer,0.0012346,10000,5.651561
PBMC,Geneformer,0.0012346,21544,5.376307
PBMC,Geneformer,0.0012346,46415,5.163657
PBMC,Geneformer,0.0012346,100000,5.08059
PBMC,Geneformer,0.0025982,100,8.490328
PBMC,Geneformer,0.0025982,215,7.696925
PBMC,Geneformer,0.0025982,464,7.033229
PBMC,Geneformer,0.0025982,1000,6.270051
PBMC,Geneformer,0.0025982,2154,5.714652
PBMC,Geneformer,0.0025982,4641,5.438759
PBMC,Geneformer,0.0025982,10000,5.092604
PBMC,Geneformer,0.0025982,21544,4.844187
PBMC,Geneformer,0.0025982,46415,4.64558
PBMC,Geneformer,0.0025982,100000,4.601589
PBMC,Geneformer,0.0054682,100,8.066418
PBMC,Geneformer,0.0054682,215,7.126993
PBMC,Geneformer,0.0054682,464,6.625305
PBMC,Geneformer,0.0054682,1000,5.752223
PBMC,Geneformer,0.0054682,2154,5.104919
PBMC,Geneformer,0.0054682,4641,4.833787
PBMC,Geneformer,0.0054682,10000,4.544228
PBMC,Geneformer,0.0054682,21544,4.318236
PBMC,Geneformer,0.0054682,46415,4.10882
PBMC,Geneformer,0.0054682,100000,4.046335
PBMC,Geneformer,0.0115083,100,7.649487
PBMC,Geneformer,0.0115083,215,6.865984
PBMC,Geneformer,0.0115083,464,6.188007
PBMC,Geneformer,0.0115083,1000,5.40581
PBMC,Geneformer,0.0115083,2154,4.839832
PBMC,Geneformer,0.0115083,4641,4.435732
PBMC,Geneformer,0.0115083,10000,4.074118
PBMC,Geneformer,0.0115083,21544,3.857085
PBMC,Geneformer,0.0115083,46415,3.682864
PBMC,Geneformer,0.0115083,100000,3.68608
PBMC,Geneformer,0.02422,100,7.342809
PBMC,Geneformer,0.02422,215,6.979399
PBMC,Geneformer,0.02422,464,6.069837
PBMC,Geneformer,0.02422,1000,5.449198
PBMC,Geneformer,0.02422,2154,4.431791
PBMC,Geneformer,0.02422,4641,4.010445
PBMC,Geneformer,0.02422,10000,3.675656
PBMC,Geneformer,0.02422,21544,3.46439
PBMC,Geneformer,0.02422,46415,3.326889
PBMC,Geneformer,0.02422,100000,3.27325
PBMC,Geneformer,0.050973,100,7.326633
PBMC,Geneformer,0.050973,215,6.71258
PBMC,Geneformer,0.050973,464,6.010155
PBMC,Geneformer,0.050973,1000,5.149505
PBMC,Geneformer,0.050973,2154,4.109542
PBMC,Geneformer,0.050973,4641,3.667896
PBMC,Geneformer,0.050973,10000,3.337487
PBMC,Geneformer,0.050973,21544,3.139094
PBMC,Geneformer,0.050973,46415,3.062298
PBMC,Geneformer,0.050973,100000,3.069217
PBMC,Geneformer,0.1072766,100,7.722055
PBMC,Geneformer,0.1072766,215,6.74119
PBMC,Geneformer,0.1072766,464,6.100826
PBMC,Geneformer,0.1072766,1000,5.167074
PBMC,Geneformer,0.1072766,2154,4.086547
PBMC,Geneformer,0.1072766,4641,3.525838
