dataset,size,quality,num_embed_dim,intermed_size,num_attn_heads,num_layers,max_input_size,trainable_params_M,mi_protein_counts
PBMC,100000,0.0012346,32,64,1,1,512,0.710299,0.87827
PBMC,100000,0.0025982,32,64,1,1,512,0.710299,1.17977
PBMC,100000,0.0054682,32,64,1,1,512,0.710299,1.61424
PBMC,100000,0.0115083,32,64,1,1,512,0.710299,1.81706
PBMC,100000,0.02422,32,64,1,1,512,0.710299,2.10599
PBMC,100000,0.050973,32,64,1,1,512,0.710299,2.29816
PBMC,100000,0.1072766,32,64,1,1,512,0.710299,2.2362
PBMC,100000,0.225772,32,64,1,1,512,0.710299,2.18378
PBMC,100000,0.4751547,32,64,1,1,512,0.710299,2.34348
PBMC,100000,1.0,32,64,1,1,512,0.710299,2.75642
PBMC,100000,0.0012346,64,128,1,2,512,1.451771,0.91601
PBMC,100000,0.0025982,64,128,1,2,512,1.451771,1.29423
PBMC,100000,0.0054682,64,128,1,2,512,1.451771,1.61672
PBMC,100000,0.0115083,64,128,1,2,512,1.451771,1.91329
PBMC,100000,0.02422,64,128,1,2,512,1.451771,2.19686
PBMC,100000,0.050973,64,128,1,2,512,1.451771,2.73187
PBMC,100000,0.1072766,64,128,1,2,512,1.451771,2.40028
PBMC,100000,0.225772,64,128,1,2,512,1.451771,2.45576
PBMC,100000,0.4751547,64,128,1,2,512,1.451771,2.77158
PBMC,100000,1.0,64,128,1,2,512,1.451771,3.32342
PBMC,100000,0.0012346,128,256,2,2,512,3.022075,0.85238
PBMC,100000,0.0025982,128,256,2,2,512,3.022075,1.27572
PBMC,100000,0.0054682,128,256,2,2,512,3.022075,1.69104
PBMC,100000,0.0115083,128,256,2,2,512,3.022075,2.25113
PBMC,100000,0.02422,128,256,2,2,512,3.022075,2.65514
PBMC,100000,0.050973,128,256,2,2,512,3.022075,2.77745
PBMC,100000,0.1072766,128,256,2,2,512,3.022075,3.27793
PBMC,100000,0.225772,128,256,2,2,512,3.022075,3.51701
PBMC,100000,0.4751547,128,256,2,2,512,3.022075,3.35151
PBMC,100000,1.0,128,256,2,2,512,3.022075,3.7199
PBMC,100000,0.0012346,256,512,4,3,512,7.107579,0.7989
PBMC,100000,0.0025982,256,512,4,3,512,7.107579,1.35126
PBMC,100000,0.0054682,256,512,4,3,512,7.107579,1.80569
PBMC,100000,0.0115083,256,512,4,3,512,7.107579,2.49016
PBMC,100000,0.02422,256,512,4,3,512,7.107579,2.82559
PBMC,100000,0.050973,256,512,4,3,512,7.107579,3.28999
PBMC,100000,0.1072766,256,512,4,3,512,7.107579,3.56748
PBMC,100000,0.225772,256,512,4,3,512,7.107579,3.62444
PBMC,100000,0.4751547,256,512,4,3,512,7.107579,3.75073
PBMC,100000,1.0,256,512,4,3,512,7.107579,3.91524
PBMC,100000,0.0012346,384,768,6,4,512,13.063675,0.77404
PBMC,100000,0.0025982,384,768,6,4,512,13.063675,1.26725
PBMC,100000,0.0054682,384,768,6,4,512,13.063675,1.87861
PBMC,100000,0.0115083,384,768,6,4,512,13.063675,2.22665
PBMC,100000,0.02422,384,768,6,4,512,13.063675,2.81765
PBMC,100000,0.050973,384,768,6,4,512,13.063675,3.27653
PBMC,100000,0.1072766,384,768,6,4,512,13.063675,3.62452
PBMC,100000,0.225772,384,768,6,4,512,13.063675,3.76427
PBMC,100000,0.4751547,384,768,6,4,512,13.063675,3.6889
PBMC,100000,1.0,384,768,6,4,512,13.063675,3.76574
PBMC,100000,0.0012346,512,1024,8,6,512,23.779579,0.78806
PBMC,100000,0.0025982,512,1024,8,6,512,23.779579,0.96467
PBMC,100000,0.0054682,512,1024,8,6,512,23.779579,1.56842
PBMC,100000,0.0115083,512,1024,8,6,512,23.779579,2.31652
PBMC,100000,0.02422,512,1024,8,6,512,23.779579,2.86909
PBMC,100000,0.050973,512,1024,8,6,512,23.779579,3.21952
PBMC,100000,0.1072766,512,1024,8,6,512,23.779579,3.4048
PBMC,100000,0.225772,512,1024,8,6,512,23.779579,3.61446
PBMC,100000,0.4751547,512,1024,8,6,512,23.779579,3.72926
PBMC,100000,1.0,512,1024,8,6,512,23.779579,3.64584
PBMC,100000,0.0012346,768,1536,12,8,512,54.746875,0.67014
PBMC,100000,0.0025982,768,1536,12,8,512,54.746875,1.14461
PBMC,100000,0.0054682,768,1536,12,8,512,54.746875,1.39911
PBMC,100000,0.0115083,768,1536,12,8,512,54.746875,1.87813
PBMC,100000,0.02422,768,1536,12,8,512,54.746875,2.152
PBMC,100000,0.050973,768,1536,12,8,512,54.746875,2.53085
PBMC,100000,0.1072766,768,1536,12,8,512,54.746875,3.53448
PBMC,100000,0.225772,768,1536,12,8,512,54.746875,3.48584
PBMC,100000,0.4751547,768,1536,12,8,512,54.746875,3.12489
PBMC,100000,1.0,768,1536,12,8,512,54.746875,3.1189
