dataset,algo,size,quality,signal,mi,trial_id,max_lr,batch_size,dropout,weight_decay
PBMC,State,100000,0.0012346,protein_counts,0.43179,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.0025982,protein_counts,0.61182,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.0054682,protein_counts,1.01905,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.0115083,protein_counts,1.69565,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.02422,protein_counts,2.06817,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.050973,protein_counts,2.61252,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.1072766,protein_counts,3.22274,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.225772,protein_counts,3.35834,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.4751547,protein_counts,2.87029,0,5e-05,128,0.0,0.001
PBMC,State,100000,1.0,protein_counts,3.30896,0,5e-05,128,0.0,0.001
PBMC,State,100000,0.0012346,protein_counts,0.381,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.0025982,protein_counts,0.60996,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.0054682,protein_counts,1.12377,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.0115083,protein_counts,1.76474,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.02422,protein_counts,2.20801,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.050973,protein_counts,2.80398,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.1072766,protein_counts,3.22175,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.225772,protein_counts,3.54937,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.4751547,protein_counts,3.61939,1,0.0001,32,0.0,0.0001
PBMC,State,100000,1.0,protein_counts,3.94323,1,0.0001,32,0.0,0.0001
PBMC,State,100000,0.0012346,protein_counts,0.01751,2,0.001,128,0.1,0.001
PBMC,State,100000,0.0025982,protein_counts,0.05932,2,0.001,128,0.1,0.001
PBMC,State,100000,0.0054682,protein_counts,0.02032,2,0.001,128,0.1,0.001
PBMC,State,100000,0.0115083,protein_counts,0.01829,2,0.001,128,0.1,0.001
PBMC,State,100000,0.02422,protein_counts,-0.00225,2,0.001,128,0.1,0.001
PBMC,State,100000,0.050973,protein_counts,0.02407,2,0.001,128,0.1,0.001
PBMC,State,100000,0.225772,protein_counts,0.01163,2,0.001,128,0.1,0.001
PBMC,State,100000,0.4751547,protein_counts,0.0575,2,0.001,128,0.1,0.001
PBMC,State,100000,1.0,protein_counts,0.07261,2,0.001,128,0.1,0.001
PBMC,State,100000,0.0012346,protein_counts,0.33632,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.0025982,protein_counts,0.49189,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.0054682,protein_counts,0.57663,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.0115083,protein_counts,0.75245,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.02422,protein_counts,1.21361,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.050973,protein_counts,1.85888,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.1072766,protein_counts,1.53558,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.225772,protein_counts,2.02431,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.4751547,protein_counts,1.90929,3,1e-05,128,0.1,0.01
PBMC,State,100000,1.0,protein_counts,1.80733,3,1e-05,128,0.1,0.01
PBMC,State,100000,0.0012346,protein_counts,0.01819,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.0025982,protein_counts,0.00882,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.0054682,protein_counts,0.23731,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.0115083,protein_counts,0.09055,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.02422,protein_counts,0.67441,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.050973,protein_counts,0.42414,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.1072766,protein_counts,0.01913,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.225772,protein_counts,0.37797,4,0.0005,64,0.1,0.1
PBMC,State,100000,0.4751547,protein_counts,0.99723,4,0.0005,64,0.1,0.1
