kernel,f,inv_f,mse,eta_emp
2,4,0.25,3.819973198506905e-06,2631.9836034529817
4,16,0.0625,1.9887731543609073e-05,505.543168764811
7,49,0.02040816326530612,5.435119478070006e-05,184.98409951551238
8,64,0.015625,0.00012085899345728816,83.18873537245834
14,196,0.00510204081632653,0.00040558498489613433,24.789149496436018
16,256,0.00390625,0.0005216398677047418,19.27403836738728
28,784,0.0012755102040816326,0.0013663754073940978,7.358231690714376
32,1024,0.0009765625,0.0016670190266200474,6.031189004774079
56,3136,0.00031887755102040814,0.003661064829145159,2.7462247442495036
112,12544,7.971938775510203e-05,0.00673092812907939,1.493717750552649
224,50176,1.992984693877551e-05,0.007774588078868633,1.293201224567399
