fold,run_id,val_ids,edist_train_val,lmi,lmi_seed,n_train_cells,n_val_cells,scvi_train_seconds
1-fold,run_14,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",0.7961,2.0358720225475007,42,10000,80000,166.65462446212769
1-fold,run_26,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",2.1029,1.9747750755662676,42,10000,80000,164.97801733016968
1-fold,run_20,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",2.2324,1.9964208874189708,42,10000,80000,164.36181926727295
1-fold,run_22,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",2.2638,1.9652571130906247,42,10000,80000,164.2244679927826
1-fold,run_21,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",2.4979,2.0055830245280335,42,10000,80000,176.66726350784302
1-fold,run_24,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",3.1188,2.0267280880927054,42,10000,80000,176.18399739265442
1-fold,run_23,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",3.1674,2.0100790213791884,42,10000,80000,164.05002331733704
1-fold,run_25,"run_13,run_15,run_16,run_17,run_18,run_19,run_27,run_4",4.715,1.9410549372628711,42,10000,80000,163.81789326667786
2-fold,run_18,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",0.7885,1.852216868614512,42,10000,80000,164.49658107757568
2-fold,run_22,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",0.9433,1.9119002189101084,42,10000,80000,164.22391271591187
2-fold,run_26,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",0.9444,1.8768373196058146,42,10000,80000,176.63508987426758
2-fold,run_13,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",1.0983,1.8283967194247162,42,10000,80000,177.36898636817932
2-fold,run_19,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",1.2356,1.9856282169748665,42,10000,80000,165.94671368598938
2-fold,run_21,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",1.2593,1.8688733232582286,42,10000,80000,166.79406714439392
2-fold,run_15,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",2.786,1.8154006360406962,42,10000,80000,165.15616035461426
2-fold,run_25,"run_14,run_16,run_17,run_20,run_23,run_24,run_27,run_4",2.9664,1.726662197121517,42,10000,80000,163.9800889492035
3-fold,run_16,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",0.8988,1.8685323037677584,42,10000,80000,175.5459589958191
3-fold,run_26,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",1.235,1.7794273126319486,42,10000,80000,160.9633824825287
3-fold,run_22,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",1.2709,1.8282483214298557,42,10000,80000,164.328106880188
3-fold,run_20,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",1.4005,1.8277738491526379,42,10000,80000,175.38393688201904
3-fold,run_21,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",1.6683,1.7942104660060965,42,10000,80000,168.91863131523132
3-fold,run_24,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",1.9399,1.8749905318831688,42,10000,80000,164.4140887260437
3-fold,run_25,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",3.0827,1.7836444692539135,42,10000,80000,164.14252614974976
3-fold,run_4,"run_13,run_14,run_15,run_17,run_18,run_19,run_23,run_27",8.1615,1.8285925425732743,42,10000,80000,158.2064757347107
4-fold,run_18,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",0.5509,1.7879224869228119,42,10000,80000,168.9310269355774
4-fold,run_22,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",0.6,1.8578048899644415,42,10000,80000,168.07151794433594
4-fold,run_26,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",0.7362,1.770394613553213,42,10000,80000,166.96053218841553
4-fold,run_20,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",0.8528,1.7794225513342106,42,10000,80000,164.89819812774658
4-fold,run_27,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",1.0361,1.8440563796678993,42,10000,80000,155.91606497764587
4-fold,run_16,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",1.6064,1.8057622597712513,42,10000,80000,175.61674189567566
4-fold,run_17,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",3.3026,1.8234707622625204,42,10000,80000,174.91923427581787
4-fold,run_15,"run_13,run_14,run_19,run_21,run_23,run_24,run_25,run_4",3.5726,1.8677564363842052,42,10000,80000,176.67726874351501
5-fold,run_27,"run_13,run_18,run_21,run_22,run_23,run_24,run_25,run_26",0.336,1.243385773611987,42,10000,80000,158.42273116111755
5-fold,run_20,"run_13,run_18,run_21,run_22,run_23,run_24,run_25,run_26",0.4689,1.1398962957532868,42,10000,80000,163.7478530406952
5-fold,run_14,"run_13,run_18,run_21,run_22,run_23,run_24,run_25,run_26",1.7599,1.0670082112153803,42,10000,80000,160.04468703269958
