probe,dataset,algo,quality,size,mi_bits
ksg,shendure,SCVI,0.004,100,0.050254
ksg,shendure,SCVI,0.0073875,100,0.08265
ksg,shendure,SCVI,0.0136438,100,0.165465
ksg,shendure,SCVI,0.0251984,100,0.291045
ksg,shendure,SCVI,0.0465384,100,0.484121
ksg,shendure,SCVI,0.0859506,100,0.671435
ksg,shendure,SCVI,0.1587401,100,0.827875
ksg,shendure,SCVI,0.2931733,100,1.086175
ksg,shendure,SCVI,0.5414548,100,1.159238
ksg,shendure,SCVI,1.0,100,1.299474
ksg,shendure,SCVI,0.004,359,0.044373
ksg,shendure,SCVI,0.0073875,359,0.134149
ksg,shendure,SCVI,0.0136438,359,0.258292
ksg,shendure,SCVI,0.0251984,359,0.425875
ksg,shendure,SCVI,0.0465384,359,0.586256
ksg,shendure,SCVI,0.0859506,359,0.795939
ksg,shendure,SCVI,0.1587401,359,1.01669
ksg,shendure,SCVI,0.2931733,359,1.219403
ksg,shendure,SCVI,0.5414548,359,1.180354
ksg,shendure,SCVI,1.0,359,1.310546
ksg,shendure,SCVI,0.004,1291,0.095628
ksg,shendure,SCVI,0.0073875,1291,0.155387
ksg,shendure,SCVI,0.0136438,1291,0.323427
ksg,shendure,SCVI,0.0251984,1291,0.488925
ksg,shendure,SCVI,0.0465384,1291,0.775554
ksg,shendure,SCVI,0.0859506,1291,1.152013
ksg,shendure,SCVI,0.1587401,1291,1.298515
ksg,shendure,SCVI,0.2931733,1291,1.146024
ksg,shendure,SCVI,0.5414548,1291,1.515815
ksg,shendure,SCVI,1.0,1291,1.546499
ksg,shendure,SCVI,0.004,4641,0.123309
ksg,shendure,SCVI,0.0073875,4641,0.287247
ksg,shendure,SCVI,0.0136438,4641,0.485895
ksg,shendure,SCVI,0.0251984,4641,0.80599
ksg,shendure,SCVI,0.0465384,4641,1.067841
ksg,shendure,SCVI,0.0859506,4641,1.194987
ksg,shendure,SCVI,0.1587401,4641,1.584703
ksg,shendure,SCVI,0.2931733,4641,1.728128
ksg,shendure,SCVI,0.5414548,4641,1.920656
ksg,shendure,SCVI,1.0,4641,1.9775
ksg,shendure,SCVI,0.004,16681,0.178047
ksg,shendure,SCVI,0.0073875,16681,0.357704
ksg,shendure,SCVI,0.0136438,16681,0.634328
ksg,shendure,SCVI,0.0251984,16681,0.887843
ksg,shendure,SCVI,0.0465384,16681,1.161112
ksg,shendure,SCVI,0.0859506,16681,1.257804
ksg,shendure,SCVI,0.1587401,16681,1.53409
ksg,shendure,SCVI,0.2931733,16681,1.786879
ksg,shendure,SCVI,0.5414548,16681,1.825917
ksg,shendure,SCVI,1.0,16681,1.899917
ksg,shendure,SCVI,0.004,59948,0.27145
ksg,shendure,SCVI,0.0073875,59948,0.480259
ksg,shendure,SCVI,0.0136438,59948,0.75897
ksg,shendure,SCVI,0.0251984,59948,0.953008
ksg,shendure,SCVI,0.0465384,59948,1.132783
ksg,shendure,SCVI,0.0859506,59948,1.295625
ksg,shendure,SCVI,0.1587401,59948,1.662383
ksg,shendure,SCVI,0.2931733,59948,1.610933
ksg,shendure,SCVI,0.5414548,59948,1.811674
ksg,shendure,SCVI,1.0,59948,2.026763
ksg,shendure,SCVI,0.004,215443,0.390737
ksg,shendure,SCVI,0.0073875,215443,0.615463
ksg,shendure,SCVI,0.0136438,215443,0.87178
ksg,shendure,SCVI,0.0251984,215443,1.085257
ksg,shendure,SCVI,0.0465384,215443,1.226478
ksg,shendure,SCVI,0.0859506,215443,1.342538
ksg,shendure,SCVI,0.1587401,215443,1.398225
ksg,shendure,SCVI,0.2931733,215443,1.692695
ksg,shendure,SCVI,0.5414548,215443,1.979074
ksg,shendure,SCVI,1.0,215443,2.082454
ksg,shendure,SCVI,0.004,774263,0.487709
ksg,shendure,SCVI,0.0073875,774263,0.70744
ksg,shendure,SCVI,0.0136438,774263,0.93181
ksg,shendure,SCVI,0.0251984,774263,1.122639
ksg,shendure,SCVI,0.0465384,774263,1.235139
ksg,shendure,SCVI,0.0859506,774263,1.327986
ksg,shendure,SCVI,0.1587401,774263,1.506071
ksg,shendure,SCVI,0.2931733,774263,1.630604
ksg,shendure,SCVI,0.5414548,774263,1.803872
ksg,shendure,SCVI,1.0,774263,1.961562
ksg,shendure,SCVI,0.004,2782559,0.571335
ksg,shendure,SCVI,0.0073875,2782559,0.738903
ksg,shendure,SCVI,0.0136438,2782559,0.98337
ksg,shendure,SCVI,0.0251984,2782559,1.154546
ksg,shendure,SCVI,0.0465384,2782559,1.247592
ksg,shendure,SCVI,0.0859506,2782559,1.375926
ksg,shendure,SCVI,0.1587401,2782559,1.551166
ksg,shendure,SCVI,0.2931733,2782559,1.564162
ksg,shendure,SCVI,0.5414548,2782559,1.900612
ksg,shendure,SCVI,1.0,2782559,1.936111
ksg,shendure,SCVI,0.004,10000000,0.205641
ksg,shendure,SCVI,0.0073875,10000000,0.189576
ksg,shendure,SCVI,0.0136438,10000000,0.139189
ksg,shendure,SCVI,0.0251984,10000000,1.138435
ksg,shendure,SCVI,0.0465384,10000000,0.071507
ksg,shendure,SCVI,0.0859506,10000000,0.14964
ksg,shendure,SCVI,0.1587401,10000000,0.188789
ksg,shendure,SCVI,0.2931733,10000000,0.223376
ksg,shendure,SCVI,0.5414548,10000000,1.578685
ksg,shendure,SCVI,1.0,10000000,1.738618
