method,metric,size,fitted_u_bar,fitted_I_max,u_bar_error,I_max_error
Geneformer,author_day,100,116.021,0.802,24.385,0.036
Geneformer,author_day,359,207.216,1.243,20.799,0.026
Geneformer,author_day,1291,271.351,1.504,44.86,0.051
Geneformer,author_day,4641,403.606,1.794,42.211,0.038
Geneformer,author_day,16681,342.73,1.938,18.838,0.02
Geneformer,author_day,59948,279.521,1.99,31.007,0.041
Geneformer,author_day,215443,303.684,2.036,36.632,0.045
Geneformer,author_day,774263,296.067,2.07,36.382,0.046
Geneformer,author_day,2782559,381.168,2.063,50.581,0.052
Geneformer,author_day,10000000,297.392,2.037,23.234,0.029
Geneformer,celltype.l3,100,166.228,2.032,22.114,0.039
Geneformer,celltype.l3,215,202.116,2.177,42.614,0.069
Geneformer,celltype.l3,464,244.475,2.401,36.574,0.054
Geneformer,celltype.l3,1000,277.873,2.527,65.736,0.087
Geneformer,celltype.l3,2154,224.916,2.419,66.768,0.105
Geneformer,celltype.l3,4641,342.484,2.711,89.909,0.101
Geneformer,celltype.l3,10000,369.77,2.789,85.671,0.089
Geneformer,celltype.l3,21544,427.89,2.927,82.356,0.076
Geneformer,celltype.l3,46415,478.593,3.05,123.3,0.11
Geneformer,celltype.l3,100000,464.03,3.079,74.35,0.068
Geneformer,clone,100,19.215,0.053,17.963,0.009
Geneformer,clone,215,12120.426,1.035,17173.831,0.675
Geneformer,clone,464,723.108,0.497,189.389,0.043
Geneformer,clone,1000,781.336,0.896,192.011,0.064
Geneformer,clone,2154,1071.833,1.25,170.747,0.055
Geneformer,clone,4641,729.527,1.244,129.236,0.056
Geneformer,clone,10000,830.978,1.309,210.22,0.085
Geneformer,clone,21544,483.407,1.123,157.803,0.09
Geneformer,clone,46415,325.867,1.049,97.614,0.074
Geneformer,clone,100000,555.204,1.31,112.061,0.063
Geneformer,ng_idx,100,34.808,0.452,4.861,0.016
Geneformer,ng_idx,203,49.255,0.507,8.604,0.024
Geneformer,ng_idx,414,91.656,0.758,13.447,0.033
Geneformer,ng_idx,843,121.956,0.949,16.392,0.037
Geneformer,ng_idx,1716,274.527,1.329,36.248,0.053
Geneformer,ng_idx,3494,410.253,1.632,64.236,0.074
Geneformer,ng_idx,7113,323.192,1.5,67.728,0.092
Geneformer,ng_idx,14480,253.828,1.458,44.394,0.072
Geneformer,ng_idx,29475,355.421,1.672,87.682,0.115
Geneformer,ng_idx,60000,274.494,1.549,66.408,0.106
Geneformer,protein_counts,100,62.975,1.913,12.755,0.049
Geneformer,protein_counts,215,134.925,2.261,53.411,0.124
Geneformer,protein_counts,464,152.273,2.429,47.968,0.11
Geneformer,protein_counts,1000,259.353,2.805,83.902,0.124
Geneformer,protein_counts,2154,180.391,2.591,101.186,0.2
Geneformer,protein_counts,4641,286.985,2.902,148.169,0.202
Geneformer,protein_counts,10000,526.156,3.301,159.59,0.13
Geneformer,protein_counts,21544,733.463,3.552,195.762,0.12
Geneformer,protein_counts,46415,785.781,3.613,273.452,0.166
Geneformer,protein_counts,100000,879.137,3.783,164.123,0.09
PCA,author_day,100,719.701,0.967,102.927,0.039
PCA,author_day,359,945.838,1.133,150.722,0.051
PCA,author_day,1291,954.215,1.216,181.101,0.063
PCA,author_day,4641,837.559,1.221,135.016,0.052
PCA,author_day,16681,820.617,1.221,136.681,0.054
PCA,author_day,59948,855.805,1.236,151.628,0.058
PCA,author_day,215443,755.233,1.201,129.866,0.054
PCA,author_day,774263,688.771,1.178,99.281,0.044
PCA,author_day,2782559,683.835,1.172,112.226,0.05
PCA,author_day,10000000,766.05,1.202,134.902,0.056
PCA,celltype.l3,100,1624.487,3.091,222.299,0.068
PCA,celltype.l3,215,1697.316,3.122,227.582,0.064
PCA,celltype.l3,464,1733.225,3.164,193.629,0.055
PCA,celltype.l3,1000,2198.023,3.339,294.849,0.069
PCA,celltype.l3,2154,2128.386,3.299,359.728,0.086
PCA,celltype.l3,4641,1869.455,3.288,233.978,0.062
PCA,celltype.l3,10000,1438.945,3.173,191.124,0.064
PCA,celltype.l3,21544,1593.246,3.241,180.796,0.054
PCA,celltype.l3,46415,1682.911,3.261,211.298,0.061
PCA,celltype.l3,100000,1693.732,3.271,237.491,0.067
PCA,clone,100,2205.843,1.739,440.783,0.092
PCA,clone,215,2208.713,1.795,448.71,0.095
PCA,clone,464,2232.547,1.801,436.678,0.092
PCA,clone,1000,2477.794,1.899,495.816,0.097
PCA,clone,2154,2169.539,1.855,374.83,0.082
PCA,clone,4641,2322.292,1.88,431.195,0.089
PCA,clone,10000,2058.259,1.833,348.625,0.079
PCA,clone,21544,2266.408,1.902,370.505,0.079
PCA,clone,46415,2260.588,1.887,419.791,0.089
PCA,clone,100000,2369.706,1.9,441.119,0.09
PCA,ng_idx,100,1427.135,2.373,512.461,0.222
PCA,ng_idx,203,3264.154,2.998,1950.701,0.402
PCA,ng_idx,414,2331.846,2.878,931.124,0.263
PCA,ng_idx,843,23571.787,4.544,110907.247,3.362
PCA,ng_idx,1716,6449.602,3.658,10129.309,1.096
PCA,ng_idx,3494,7031.691,3.737,10739.226,1.069
PCA,ng_idx,7113,3135.761,3.203,2951.634,0.636
