dataset,algo,signal,seed,size,quality,quality_str,step,mi
shendure,Geneformer,author_day,42,100,0.004,0.004,1000,0.16247
shendure,Geneformer,author_day,42,100,0.004,0.004,2000,0.12801
shendure,Geneformer,author_day,42,100,0.004,0.004,3000,0.12546
shendure,Geneformer,author_day,42,100,0.004,0.004,4000,0.08042
shendure,Geneformer,author_day,42,100,0.004,0.004,5000,0.08744
shendure,Geneformer,author_day,42,100,0.004,0.004,6000,0.09532
shendure,Geneformer,author_day,42,100,0.0073875,0.0073875,1000,0.25233
shendure,Geneformer,author_day,42,100,0.0073875,0.0073875,2000,0.21959
shendure,Geneformer,author_day,42,100,0.0073875,0.0073875,3000,0.12643
shendure,Geneformer,author_day,42,100,0.0073875,0.0073875,4000,0.15567
shendure,Geneformer,author_day,42,100,0.0073875,0.0073875,5000,0.12419
shendure,Geneformer,author_day,42,100,0.0073875,0.0073875,6000,0.10333
shendure,Geneformer,author_day,42,100,0.0136438,0.0136438,1000,0.29976
shendure,Geneformer,author_day,42,100,0.0251984,0.0251984,1000,0.31729
shendure,Geneformer,author_day,42,100,0.0251984,0.0251984,2000,0.32758
shendure,Geneformer,author_day,42,100,0.0465384,0.0465384,1000,0.43556
shendure,Geneformer,author_day,42,100,0.0465384,0.0465384,2000,0.46035
shendure,Geneformer,author_day,42,100,0.0465384,0.0465384,3000,0.45002
shendure,Geneformer,author_day,42,100,0.0465384,0.0465384,4000,0.48799
shendure,Geneformer,author_day,42,100,0.0465384,0.0465384,5000,0.51928
shendure,Geneformer,author_day,42,100,0.0465384,0.0465384,6000,0.55144
shendure,Geneformer,author_day,42,100,0.0859506,0.0859506,1000,0.5494
shendure,Geneformer,author_day,42,100,0.0859506,0.0859506,2000,0.54138
shendure,Geneformer,author_day,42,100,0.0859506,0.0859506,3000,0.47985
shendure,Geneformer,author_day,42,100,0.0859506,0.0859506,4000,0.49865
shendure,Geneformer,author_day,42,100,0.0859506,0.0859506,5000,0.55917
shendure,Geneformer,author_day,42,100,0.0859506,0.0859506,6000,0.58345
shendure,Geneformer,author_day,42,100,0.1587401,0.1587401,1000,0.67383
shendure,Geneformer,author_day,42,100,0.1587401,0.1587401,2000,0.68848
shendure,Geneformer,author_day,42,100,0.1587401,0.1587401,3000,0.58832
shendure,Geneformer,author_day,42,100,0.1587401,0.1587401,4000,0.61975
shendure,Geneformer,author_day,42,100,0.1587401,0.1587401,5000,0.627
shendure,Geneformer,author_day,42,100,0.1587401,0.1587401,6000,0.65564
shendure,Geneformer,author_day,42,100,0.2931733,0.2931733,1000,0.66702
shendure,Geneformer,author_day,42,100,0.2931733,0.2931733,2000,0.67249
shendure,Geneformer,author_day,42,100,0.2931733,0.2931733,3000,0.62185
shendure,Geneformer,author_day,42,100,0.2931733,0.2931733,4000,0.59443
shendure,Geneformer,author_day,42,100,0.2931733,0.2931733,5000,0.62637
shendure,Geneformer,author_day,42,100,0.2931733,0.2931733,6000,0.66627
shendure,Geneformer,author_day,42,100,0.5414548,0.5414548,1000,0.74594
shendure,Geneformer,author_day,42,100,1.0,1.0,1000,0.81381
