dataset,size,quality,algorithm,signal,seed,mi_value,umis_per_cell
PBMC,100,0.0012346,Geneformer,celltype.l3,42,0.53784,10
PBMC,100,0.0012346,Geneformer,celltype.l3,2701,0.39424,10
PBMC,100,0.0012346,Geneformer,protein_counts,42,0.71425,10
PBMC,100,0.0012346,Geneformer,protein_counts,2701,0.63226,10
PBMC,100,0.0012346,PCA,celltype.l3,42,0.3065,10
PBMC,100,0.0012346,PCA,celltype.l3,2303,0.20484,10
PBMC,100,0.0012346,PCA,celltype.l3,2701,0.30177,10
PBMC,100,0.0012346,PCA,protein_counts,42,0.28001,10
PBMC,100,0.0012346,PCA,protein_counts,2303,0.25016,10
PBMC,100,0.0012346,PCA,protein_counts,2701,0.27629,10
PBMC,100,0.0012346,RandomProjection,celltype.l3,42,0.15328,10
PBMC,100,0.0012346,RandomProjection,celltype.l3,2303,0.18055,10
PBMC,100,0.0012346,RandomProjection,celltype.l3,2701,0.16097,10
PBMC,100,0.0012346,RandomProjection,protein_counts,42,0.24256,10
PBMC,100,0.0012346,RandomProjection,protein_counts,2303,0.21117,10
PBMC,100,0.0012346,RandomProjection,protein_counts,2701,0.21626,10
PBMC,100,0.0012346,SCVI,celltype.l3,42,0.13534,10
PBMC,100,0.0012346,SCVI,celltype.l3,2701,0.17879,10
PBMC,100,0.0012346,SCVI,protein_counts,42,0.23478,10
PBMC,100,0.0012346,SCVI,protein_counts,2701,0.19299,10
PBMC,100,0.0025982,Geneformer,celltype.l3,42,0.71172,21
PBMC,100,0.0025982,Geneformer,celltype.l3,2701,0.76171,21
PBMC,100,0.0025982,Geneformer,protein_counts,42,0.97858,21
PBMC,100,0.0025982,Geneformer,protein_counts,2701,0.98386,21
PBMC,100,0.0025982,PCA,celltype.l3,42,0.58255,21
PBMC,100,0.0025982,PCA,celltype.l3,2303,0.51793,21
PBMC,100,0.0025982,PCA,celltype.l3,2701,0.59439,21
PBMC,100,0.0025982,PCA,protein_counts,42,0.59846,21
PBMC,100,0.0025982,PCA,protein_counts,2303,0.63328,21
PBMC,100,0.0025982,PCA,protein_counts,2701,0.62284,21
PBMC,100,0.0025982,RandomProjection,celltype.l3,42,0.20535,21
PBMC,100,0.0025982,RandomProjection,celltype.l3,2701,0.12768,21
PBMC,100,0.0025982,RandomProjection,protein_counts,42,0.28668,21
PBMC,100,0.0025982,RandomProjection,protein_counts,2701,0.30596,21
PBMC,100,0.0025982,SCVI,celltype.l3,42,0.37219,21
PBMC,100,0.0025982,SCVI,celltype.l3,2701,0.33765,21
PBMC,100,0.0025982,SCVI,protein_counts,42,0.47516,21
PBMC,100,0.0025982,SCVI,protein_counts,2701,0.3945,21
PBMC,100,0.0054682,Geneformer,celltype.l3,42,1.08677,44
PBMC,100,0.0054682,Geneformer,celltype.l3,2701,1.06594,44
PBMC,100,0.0054682,Geneformer,protein_counts,42,1.37599,44
PBMC,100,0.0054682,Geneformer,protein_counts,2701,1.34557,44
PBMC,100,0.0054682,PCA,celltype.l3,42,0.91155,44
PBMC,100,0.0054682,PCA,celltype.l3,2701,0.92211,44
PBMC,100,0.0054682,PCA,protein_counts,42,0.90501,44
PBMC,100,0.0054682,PCA,protein_counts,2701,0.96397,44
PBMC,100,0.0054682,RandomProjection,celltype.l3,42,0.24753,44
PBMC,100,0.0054682,RandomProjection,celltype.l3,2303,0.36326,44
PBMC,100,0.0054682,RandomProjection,celltype.l3,2701,0.29192,44
PBMC,100,0.0054682,RandomProjection,protein_counts,42,0.42328,44
PBMC,100,0.0054682,RandomProjection,protein_counts,2303,0.38537,44
PBMC,100,0.0054682,RandomProjection,protein_counts,2701,0.39658,44
PBMC,100,0.0054682,SCVI,celltype.l3,42,0.76813,44
PBMC,100,0.0054682,SCVI,celltype.l3,2303,0.59338,44
PBMC,100,0.0054682,SCVI,celltype.l3,2701,0.80941,44
PBMC,100,0.0054682,SCVI,protein_counts,42,0.89321,44
PBMC,100,0.0054682,SCVI,protein_counts,2303,0.72632,44
PBMC,100,0.0054682,SCVI,protein_counts,2701,0.89412,44
PBMC,100,0.0115083,Geneformer,celltype.l3,42,1.33555,93
PBMC,100,0.0115083,Geneformer,celltype.l3,2701,1.36837,93
PBMC,100,0.0115083,Geneformer,protein_counts,42,1.58554,93
PBMC,100,0.0115083,Geneformer,protein_counts,2701,1.68955,93
PBMC,100,0.0115083,PCA,celltype.l3,42,1.22936,93
PBMC,100,0.0115083,PCA,celltype.l3,2701,1.20618,93
PBMC,100,0.0115083,PCA,protein_counts,42,1.34711,93
PBMC,100,0.0115083,PCA,protein_counts,2701,1.36913,93
PBMC,100,0.0115083,RandomProjection,celltype.l3,42,0.42456,93
PBMC,100,0.0115083,RandomProjection,celltype.l3,2303,0.54115,93
PBMC,100,0.0115083,RandomProjection,celltype.l3,2701,0.46007,93
PBMC,100,0.0115083,RandomProjection,protein_counts,42,0.62446,93
PBMC,100,0.0115083,RandomProjection,protein_counts,2303,0.67607,93
PBMC,100,0.0115083,RandomProjection,protein_counts,2701,0.62227,93
PBMC,100,0.0115083,SCVI,celltype.l3,42,1.38503,93
PBMC,100,0.0115083,SCVI,celltype.l3,2303,1.32805,93
PBMC,100,0.0115083,SCVI,celltype.l3,2701,1.32005,93
PBMC,100,0.0115083,SCVI,protein_counts,42,1.50898,93
PBMC,100,0.0115083,SCVI,protein_counts,2303,1.54811,93
PBMC,100,0.0115083,SCVI,protein_counts,2701,1.49616,93
PBMC,100,0.02422,Geneformer,celltype.l3,42,1.60339,196
PBMC,100,0.02422,Geneformer,celltype.l3,2701,1.6433,196
PBMC,100,0.02422,Geneformer,protein_counts,42,1.76441,196
PBMC,100,0.02422,Geneformer,protein_counts,2701,1.94892,196
PBMC,100,0.02422,PCA,celltype.l3,42,1.52682,196
PBMC,100,0.02422,PCA,celltype.l3,2701,1.52706,196
PBMC,100,0.02422,PCA,protein_counts,42,1.71384,196
PBMC,100,0.02422,PCA,protein_counts,2701,1.82301,196
PBMC,100,0.02422,RandomProjection,celltype.l3,42,0.80284,196
PBMC,100,0.02422,RandomProjection,celltype.l3,2303,0.82382,196
PBMC,100,0.02422,RandomProjection,celltype.l3,2701,0.66461,196
PBMC,100,0.02422,RandomProjection,protein_counts,42,0.95109,196
PBMC,100,0.02422,RandomProjection,protein_counts,2303,0.99194,196
PBMC,100,0.02422,RandomProjection,protein_counts,2701,0.98609,196
PBMC,100,0.02422,SCVI,celltype.l3,42,1.60824,196
PBMC,100,0.02422,SCVI,celltype.l3,2303,1.5953,196
PBMC,100,0.02422,SCVI,celltype.l3,2701,1.57058,196
PBMC,100,0.02422,SCVI,protein_counts,42,1.87539,196
