dataset,size,quality,method,metric,seed,mi_value,umis_per_cell,fitted_mi_value,I_max,I_max_err,u_bar,u_bar_err,A_fit,B_fit,fitted_mi_value_cell,A_cell,A_cell_err,B_cell,B_cell_err,C_cell,C_cell_err
PBMC,100,0.0012346,Geneformer,celltype.l3,42,0.53784,10,0.45988887152825275,2.031599189767882,0.12092395440243348,166.22842388745465,22.113865756045357,0.006015818333674705,0.10056325070939831,1.4055962201436896,46.54941842384922,19.845054942571885,0.4494386459767371,0.21241233648522173,2.1147621035911044,0.03935424498716203
PBMC,100,0.0012346,Geneformer,celltype.l3,2701,0.39424,10,0.45988887152825275,2.031599189767882,0.12092395440243348,166.22842388745465,22.113865756045357,0.006015818333674705,0.10056325070939831,1.4055962201436896,46.54941842384922,19.845054942571885,0.4494386459767371,0.21241233648522173,2.1147621035911044,0.03935424498716203
PBMC,100,0.0012346,Geneformer,protein_counts,42,0.71425,10,0.7440221198403644,1.9125277759213148,0.1891983091977154,62.976228568955285,12.755559868487767,0.01587900740840742,0.22505040950215616,1.3739025864959447,119.56233930177929,42.81112012221043,0.7564268431011433,0.4769561955756186,2.51860998507392,0.015319460293116911
PBMC,100,0.0012346,Geneformer,protein_counts,2701,0.63226,10,0.7440221198403644,1.9125277759213148,0.1891983091977154,62.976228568955285,12.755559868487767,0.01587900740840742,0.22505040950215616,1.3739025864959447,119.56233930177929,42.81112012221043,0.7564268431011433,0.4769561955756186,2.51860998507392,0.015319460293116911
PBMC,100,0.0012346,PCA,celltype.l3,42,0.3065,10,0.26192403147963383,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0012346,PCA,celltype.l3,2303,0.20484,10,0.26192403147963383,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0012346,PCA,celltype.l3,2701,0.30177,10,0.26192403147963383,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0012346,PCA,protein_counts,42,0.28001,10,0.2985587765371377,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
PBMC,100,0.0012346,PCA,protein_counts,2303,0.25016,10,0.2985587765371377,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
PBMC,100,0.0012346,PCA,protein_counts,2701,0.27629,10,0.2985587765371377,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
PBMC,100,0.0012346,RandomProjection,celltype.l3,42,0.15328,10,0.07025015714989967,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0012346,RandomProjection,celltype.l3,2303,0.18055,10,0.07025015714989967,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0012346,RandomProjection,celltype.l3,2701,0.16097,10,0.07025015714989967,2.6342506754656716,0.08272234430535606,3660.620301378551,391.16750606966485,0.0002731777452098516,0.010529851704153437,1.0295395538783902,22.078923492378006,50.85706998358089,1.2811248719270925,1.8738723243740403,1.1739350888829843,0.0044008311596572145
PBMC,100,0.0012346,RandomProjection,protein_counts,42,0.24256,10,0.10624921791411972,3.147373749174665,0.0869201653984537,4874.076236221168,557.4097600323994,0.00020516708223983215,0.01610703099345212,1.2282455877236096,32.276501343365894,52.42725273908582,1.2646690696240785,1.7015077257855573,1.467524203136347,0.10617682045863089
PBMC,100,0.0012346,RandomProjection,protein_counts,2303,0.21117,10,0.10624921791411972,3.147373749174665,0.0869201653984537,4874.076236221168,557.4097600323994,0.00020516708223983215,0.01610703099345212,1.2282455877236096,32.276501343365894,52.42725273908582,1.2646690696240785,1.7015077257855573,1.467524203136347,0.10617682045863089
PBMC,100,0.0012346,RandomProjection,protein_counts,2701,0.21626,10,0.10624921791411972,3.147373749174665,0.0869201653984537,4874.076236221168,557.4097600323994,0.00020516708223983215,0.01610703099345212,1.2282455877236096,32.276501343365894,52.42725273908582,1.2646690696240785,1.7015077257855573,1.467524203136347,0.10617682045863089
PBMC,100,0.0012346,SCVI,celltype.l3,42,0.13534,10,0.28320227765665484,2.8793674845718007,0.08246006597337109,1095.2631858446318,110.54124847045406,0.0009130225619962129,0.049434878654366354,1.5124235644072836,63.20919377552325,29.437524352322047,0.3462301128441859,0.1900368541911114,2.365571067023558,0.00847082387297237
PBMC,100,0.0012346,SCVI,celltype.l3,2701,0.17879,10,0.28320227765665484,2.8793674845718007,0.08246006597337109,1095.2631858446318,110.54124847045406,0.0009130225619962129,0.049434878654366354,1.5124235644072836,63.20919377552325,29.437524352322047,0.3462301128441859,0.1900368541911114,2.365571067023558,0.00847082387297237
PBMC,100,0.0012346,SCVI,protein_counts,42,0.23478,10,0.37786768427609707,3.0905566742017023,0.13598846202102022,1029.3808507989766,171.18956313933182,0.0009714577449384532,0.07048950153959255,1.6670947801125555,9774252.425063113,241249148.8612252,0.08986066508511048,0.11356655225623379,4.475192563524752,5.439720557293852
PBMC,100,0.0012346,SCVI,protein_counts,2701,0.19299,10,0.37786768427609707,3.0905566742017023,0.13598846202102022,1029.3808507989766,171.18956313933182,0.0009714577449384532,0.07048950153959255,1.6670947801125555,9774252.425063113,241249148.8612252,0.08986066508511048,0.11356655225623379,4.475192563524752,5.439720557293852
PBMC,100,0.0025982,Geneformer,celltype.l3,42,0.71172,21,0.733065032186494,2.031599189767882,0.12092395440243348,166.22842388745465,22.113865756045357,0.006015818333674705,0.10056325070939831,1.4055962201436896,46.54941842384922,19.845054942571885,0.4494386459767371,0.21241233648522173,2.1147621035911044,0.03935424498716203
PBMC,100,0.0025982,Geneformer,celltype.l3,2701,0.76171,21,0.733065032186494,2.031599189767882,0.12092395440243348,166.22842388745465,22.113865756045357,0.006015818333674705,0.10056325070939831,1.4055962201436896,46.54941842384922,19.845054942571885,0.4494386459767371,0.21241233648522173,2.1147621035911044,0.03935424498716203
PBMC,100,0.0025982,Geneformer,protein_counts,42,0.97858,21,1.0511843997585388,1.9125277759213148,0.1891983091977154,62.976228568955285,12.755559868487767,0.01587900740840742,0.22505040950215616,1.3739025864959447,119.56233930177929,42.81112012221043,0.7564268431011433,0.4769561955756186,2.51860998507392,0.015319460293116911
PBMC,100,0.0025982,Geneformer,protein_counts,2701,0.98386,21,1.0511843997585388,1.9125277759213148,0.1891983091977154,62.976228568955285,12.755559868487767,0.01587900740840742,0.22505040950215616,1.3739025864959447,119.56233930177929,42.81112012221043,0.7564268431011433,0.4769561955756186,2.51860998507392,0.015319460293116911
PBMC,100,0.0025982,PCA,celltype.l3,42,0.58255,21,0.4679949492713703,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0025982,PCA,celltype.l3,2303,0.51793,21,0.4679949492713703,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0025982,PCA,celltype.l3,2701,0.59439,21,0.4679949492713703,3.0905057354031995,0.10870735649768236,1624.487297447904,222.30284764480862,0.0006155788362094405,0.04466358057372233,1.5958116398143944,26.57445352606746,26.369406203257274,0.8402577452502605,0.5750224384378163,1.9242105491756272,1.8414895575666255
PBMC,100,0.0025982,PCA,protein_counts,42,0.59846,21,0.5259384158787443,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
PBMC,100,0.0025982,PCA,protein_counts,2303,0.63328,21,0.5259384158787443,3.736421087333816,0.12487671731408083,3435.4193214719985,562.7551390447728,0.00029108528142396395,0.05170944703170233,1.8125096797347668,37.70734074829012,33.7399393248818,1.0232741577641558,0.834642513907809,2.1811200720708706,0.7497225161917949
