mode,seed,sigma_meas,sigma_M,ratio,noise_level_used,sigma_M_used,eta_eff,MI,test_acc
shift,0,0.05,1.131,511.6643999999999,0.05,1.131,0.7802375199058098,0.19661454196838513,0.3624
shift,1,0.05,1.131,511.6643999999999,0.05,1.131,0.7802375199058098,0.18380387582233482,0.3652
shift_gn,0,0.05,1.131,511.6643999999999,0.05,1.131,0.7802375199058098,0.03103977851041506,0.3327
shift_gn,1,0.05,1.131,511.6643999999999,0.05,1.131,0.7802375199058098,0.00032245807493636036,0.3233
iid,0,0.05,1.131,511.6643999999999,1.1321046771390002,0.0,0.7802375199058098,0.03036918540234712,0.2437
iid,1,0.05,1.131,511.6643999999999,1.1321046771390002,0.0,0.7802375199058098,0.029969759873138102,0.2515
shift,0,0.1,1.131,127.91609999999997,0.1,1.131,0.7756983030048226,0.176538848653081,0.3528
shift,1,0.1,1.131,127.91609999999997,0.1,1.131,0.7756983030048226,0.13588332421734917,0.328
shift_gn,0,0.1,1.131,127.91609999999997,0.1,1.131,0.7756983030048226,0.09947370537570954,0.3233
shift_gn,1,0.1,1.131,127.91609999999997,0.1,1.131,0.7756983030048226,0.025972252974849397,0.3343
iid,0,0.1,1.131,127.91609999999997,1.1354122599302863,0.0,0.7756983030048226,0.033296194339095475,0.2503
iid,1,0.1,1.131,127.91609999999997,1.1354122599302863,0.0,0.7756983030048226,0.03423329940428177,0.2664
