sigma_M,quality,MI,sigma_M_sq,eta,eta_eff,ratio,clamped,collapse,eta_eff_model
0.25,0.0625,2.3993053715748265,0.0625,57.34914469012584,28.144414622975706,2.0376740983381065,False,0.018093976883961606,44.92579602748015
0.5,0.0625,2.31962361384367,0.25,57.34914469012584,24.0722894392013,2.3823718485510468,False,0.02410448936981371,27.22974016407838
0.75,0.0625,2.064199763654383,0.5625,57.34914469012584,14.586169734617455,3.931748069132826,False,0.051121042606196064,16.438195830971313
1.0,0.0625,1.8288406795159375,1.0,57.34914469012584,9.341750836992777,6.139014590608288,False,0.08960926302172217,10.572271597384185
0.25,0.125,2.6315502825153962,0.0625,114.69828938025168,50.457069292821174,2.2731857198168757,False,0.01110030259994521,73.85305735520765
0.5,0.125,2.480563037685675,0.25,114.69828938025168,34.39934668620358,3.334315922524578,False,0.020351793694026024,35.706601345012714
0.75,0.125,2.1603356200857413,0.5625,114.69828938025168,17.612949126213337,6.51215696805405,False,0.04805788297138382,19.18818590748027
1.0,0.125,1.9691640536294603,1.0,114.69828938025168,12.179841654418563,9.417059156811108,False,0.07338434777267329,11.645710581307828
0.25,0.25,2.872592918949721,0.0625,229.39657876050336,87.3492763280723,2.6261989612703855,False,0.00708902883407073,108.91896065631352
0.5,0.25,2.4583669808450015,0.25,229.39657876050336,32.51565516405748,7.05495791498233,False,0.026395153527132068,42.28908638953674
0.75,0.25,2.1998386623503676,0.5625,229.39657876050336,19.031881071489252,12.053279331602768,False,0.048184150745956465,20.939716726125837
1.0,0.25,2.0600143020116897,1.0,229.39657876050336,14.466916901002561,15.856632088942607,False,0.06476396539659539,12.26854426310962
0.25,0.5,3.0889672347913457,0.0625,458.7931575210067,136.85793668145865,3.352331393018608,False,0.005127215509771202,142.82640538005086
0.5,0.5,2.507930095205053,0.25,458.7931575210067,36.872770533152725,12.442600620653135,False,0.024940652302839136,46.58284232523131
0.75,0.5,2.2028606541339517,0.5625,458.7931575210067,19.145024211959488,23.964093878471484,False,0.05005326147964626,21.94112883282161
1.0,0.5,2.0929954920804454,1.0,458.7931575210067,15.433703474198058,29.726705472086685,False,0.06261363100379581,12.605630224032778
0.25,1.0,3.4462511209267532,0.0625,917.5863150420134,267.34837775749395,3.4321746132843063,False,0.002650622152285417,169.15634555814697
0.5,1.0,2.4774834689074443,0.25,917.5863150420134,34.13161501809868,26.88376493627544,False,0.028208534185789707,49.07417705243848
0.75,1.0,2.28628956803829,0.5625,917.5863150420134,22.548759813008505,40.693427161907714,False,0.04325852130879946,22.478633127905304
1.0,1.0,2.234284331646047,1.0,917.5863150420134,20.362137164464535,45.063359883625616,False,0.048020942729086025,12.781216196209641
