seed,noise_level,quality,eta,sigma_meas_sq,sigma_M,sigma_M_sq,sigma_M_sq_ratio,k,MI
0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,4.089718669806569
0,1.0,1.0,1.0,1.0,0.25,0.0625,0.0625,20,3.3311374688215336
0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,20,2.5253949818100603
0,1.0,1.0,1.0,1.0,0.75,0.5625,0.5625,20,2.277155470797753
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,2.227510454177967
0,0.5,0.5,0.5,2.0,0.0,0.0,0.0,20,3.7148223054074014
0,0.5,0.5,0.5,2.0,0.25,0.0625,0.03125,20,3.011340971073321
0,0.5,0.5,0.5,2.0,0.5,0.25,0.125,20,2.4847837395997785
0,0.5,0.5,0.5,2.0,0.75,0.5625,0.28125,20,2.1950677701236745
0,0.5,0.5,0.5,2.0,1.0,1.0,0.5,20,1.986022473100504
0,0.25,0.25,0.25,4.0,0.0,0.0,0.0,20,3.3335331796420893
0,0.25,0.25,0.25,4.0,0.25,0.0625,0.015625,20,2.8485093414946143
0,0.25,0.25,0.25,4.0,0.5,0.25,0.0625,20,2.435063435120072
0,0.25,0.25,0.25,4.0,0.75,0.5625,0.140625,20,2.21953462752427
0,0.25,0.25,0.25,4.0,1.0,1.0,0.25,20,2.035443573663531
0,0.125,0.125,0.125,8.0,0.0,0.0,0.0,20,2.9451574587652223
0,0.125,0.125,0.125,8.0,0.25,0.0625,0.0078125,20,2.593900286142485
0,0.125,0.125,0.125,8.0,0.5,0.25,0.03125,20,2.481930423500802
0,0.125,0.125,0.125,8.0,0.75,0.5625,0.0703125,20,2.1204641361560848
0,0.125,0.125,0.125,8.0,1.0,1.0,0.125,20,1.938229701959203
0,0.0625,0.0625,0.0625,16.0,0.0,0.0,0.0,20,2.6202975496507346
0,0.0625,0.0625,0.0625,16.0,0.25,0.0625,0.00390625,20,2.382238392837237
0,0.0625,0.0625,0.0625,16.0,0.5,0.25,0.015625,20,2.308262728533629
0,0.0625,0.0625,0.0625,16.0,0.75,0.5625,0.03515625,20,2.0295808746539947
0,0.0625,0.0625,0.0625,16.0,1.0,1.0,0.0625,20,1.864043956909952
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,4.0765229917477885
1,1.0,1.0,1.0,1.0,0.25,0.0625,0.0625,20,3.4574830391176627
1,1.0,1.0,1.0,1.0,0.5,0.25,0.25,20,2.508469851407259
1,1.0,1.0,1.0,1.0,0.75,0.5625,0.5625,20,2.250279508578378
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,2.311825512629244
1,0.5,0.5,0.5,2.0,0.0,0.0,0.0,20,3.74792369330398
1,0.5,0.5,0.5,2.0,0.25,0.0625,0.03125,20,3.174079163469937
1,0.5,0.5,0.5,2.0,0.5,0.25,0.125,20,2.451279468206175
1,0.5,0.5,0.5,2.0,0.75,0.5625,0.28125,20,2.2079612309303074
1,0.5,0.5,0.5,2.0,1.0,1.0,0.5,20,2.220257281731453
1,0.25,0.25,0.25,4.0,0.0,0.0,0.0,20,3.3896680758290776
1,0.25,0.25,0.25,4.0,0.25,0.0625,0.015625,20,2.9016376775377526
1,0.25,0.25,0.25,4.0,0.5,0.25,0.0625,20,2.373029318089394
1,0.25,0.25,0.25,4.0,0.75,0.5625,0.140625,20,2.254881428702377
1,0.25,0.25,0.25,4.0,1.0,1.0,0.25,20,2.136158122266313
1,0.125,0.125,0.125,8.0,0.0,0.0,0.0,20,2.994834192917887
1,0.125,0.125,0.125,8.0,0.25,0.0625,0.0078125,20,2.6466306102409654
1,0.125,0.125,0.125,8.0,0.5,0.25,0.03125,20,2.442511972957827
1,0.125,0.125,0.125,8.0,0.75,0.5625,0.0703125,20,2.1558236107713817
1,0.125,0.125,0.125,8.0,1.0,1.0,0.125,20,1.97412956122683
1,0.0625,0.0625,0.0625,16.0,0.0,0.0,0.0,20,2.6839613528533888
1,0.0625,0.0625,0.0625,16.0,0.25,0.0625,0.00390625,20,2.388484897358913
1,0.0625,0.0625,0.0625,16.0,0.5,0.25,0.015625,20,2.3293219760584893
